MIB-MODULE,MIB File,OID,Name,Recommended Action,Comments,Description,Trigger Description,Dependency,cleartime In Days
cpqhlth.mib,cpqHealth,.1.3.6.1.4.1.232.6.0.1,cpqHeCorrectableMemoryError,Average,,A correctable memory error occurred The error has been corrected  The current number of correctable memory errors is reported in the variable cpqHeCorrMemTotalErrs,A correctable memory error occurred The error has been corrected  The current number ...,NONE,3d
cpqhlth.mib,cpqHealth,.1.3.6.1.4.1.232.6.0.2,cpqHeCorrectableMemoryLogDisabled,Average,,Correctable memory error tracking disabled The frequency of errors is so high that the error tracking logic has been temporarily disabled  The cpqHeCorrMemLogStatus variable indicated the current tracking status,Correctable memory error tracking disabled The frequency of errors is so high that th...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6001,cpqHe2CorrectableMemoryError,Average,,A correctable memory error occurred The error has been corrected  The current number of correctable memory errors is reported in the variable cpqHeCorrMemTotalErrs,A correctable memory error occurred The error has been corrected  The current number ...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6002,cpqHe2CorrectableMemoryLogDisabled,Average,,Correctable memory error tracking disabled The frequency of errors is so high that the error tracking logic has been temporarily disabled  The cpqHeCorrMemLogStatus variable indicated the current tracking status,Correctable memory error tracking disabled The frequency of errors is so high that th...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6003,cpqHeThermalTempFailed,Average,,The temperature status has been set to failed The system will be shutdown due to this thermal condition,The temperature status has been set to failed The system will be shutdown due to this...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6004,cpqHeThermalTempDegraded,Average,,The temperature status has been set to degraded The server's temperature is outside of the normal operating range  The server will be shutdown if the cpqHeThermalDegradedAction variable is set to shutdown(),The temperature status has been set to degraded The server's temperature is outside o...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6005,cpqHeThermalTempOk,Average,,The temperature status has been set to ok The server's temperature has returned to the normal operating range,The temperature status has been set to ok The server's temperature has returned to th...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6006,cpqHeThermalSystemFanFailed,Average,,The system fan status has been set to failed A required system fan is not operating normally  The system will be shutdown if the cpqHeThermalDegradedAction variable is set to shutdown(),The system fan status has been set to failed A required system fan is not operating n...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6007,cpqHeThermalSystemFanDegraded,Average,,The system fan status has been set to degraded An optional system fan is not operating normally,The system fan status has been set to degraded An optional system fan is not operatin...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6008,cpqHeThermalSystemFanOk,Average,,The system fan status has been set to ok Any previously nonoperational system fans have returned to normal operation,The system fan status has been set to ok Any previously nonoperational system fans ha...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6009,cpqHeThermalCpuFanFailed,Average,,The CPU fan status has been set to failed A processor fan is not operating normally  The server will be shutdown,The CPU fan status has been set to failed A processor fan is not operating normally  ...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6010,cpqHeThermalCpuFanOk,Average,,The CPU fan status has been set to ok Any previously nonoperational processor fans have returned to normal operation,The CPU fan status has been set to ok Any previously nonoperational processor fans ha...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6011,cpqHeAsrConfirmation,Average,,The server is operational again The server has previously been shutdown by the Automatic Server Recovery (ASR) feature and has just become operational again,The server is operational again The server has previously been shutdown by the Automa...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6012,cpqHeThermalConfirmation,Average,,The server is operational again The server has previously been shutdown due to a thermal anomaly on the server and has just become operational again,The server is operational again The server has previously been shutdown due to a ther...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6013,cpqHePostError,Average,,One or more POST errors occurred Power On SelfTest (POST) errors occur during the server restart process,One or more POST errors occurred Power On SelfTest (POST) errors occur during the ser...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6014,cpqHeFltTolPwrSupplyDegraded,Average,,The fault tolerant power supply subsystem condition has been set to degraded,The fault tolerant power supply subsystem condition has been set to degraded.,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6015,cpqHe3CorrectableMemoryError,Average,,A correctable memory error occurred The error has been corrected  The current number of correctable memory errors is reported in the variable cpqHeCorrMemTotalErrs,A correctable memory error occurred The error has been corrected  The current number ...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6016,cpqHe3CorrectableMemoryLogDisabled,Average,,Correctable memory error tracking disabled The frequency of errors is so high that the error tracking logic has been temporarily disabled  The cpqHeCorrMemLogStatus variable indicated the current tracking status,Correctable memory error tracking disabled The frequency of errors is so high that th...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6017,cpqHe3ThermalTempFailed,Average,,The temperature status has been set to failed The system will be shutdown due to this thermal condition,The temperature status has been set to failed The system will be shutdown due to this...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6018,cpqHe3ThermalTempDegraded,Average,,The temperature status has been set to degraded The server's temperature is outside of the normal operating range  The server will be shutdown if the cpqHeThermalDegradedAction variable is set to shutdown(),The temperature status has been set to degraded The server's temperature is outside o...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6019,cpqHe3ThermalTempOk,Average,,The temperature status has been set to ok The server's temperature has returned to the normal operating range,The temperature status has been set to ok The server's temperature has returned to th...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6020,cpqHe3ThermalSystemFanFailed,Average,,The system fan status has been set to failed A required system fan is not operating normally  The system will be shutdown if the cpqHeThermalDegradedAction variable is set to shutdown(),The system fan status has been set to failed A required system fan is not operating n...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6021,cpqHe3ThermalSystemFanDegraded,Average,,The system fan status has been set to degraded An optional system fan is not operating normally,The system fan status has been set to degraded An optional system fan is not operatin...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6022,cpqHe3ThermalSystemFanOk,Average,,The system fan status has been set to ok Any previously nonoperational system fans have returned to normal operation,The system fan status has been set to ok Any previously nonoperational system fans ha...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6023,cpqHe3ThermalCpuFanFailed,Average,,The CPU fan status has been set to failed A processor fan is not operating normally  The server will be shutdown,The CPU fan status has been set to failed A processor fan is not operating normally  ...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6024,cpqHe3ThermalCpuFanOk,Average,,The CPU fan status has been set to ok Any previously nonoperational processor fans have returned to normal operation,The CPU fan status has been set to ok Any previously nonoperational processor fans ha...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6025,cpqHe3AsrConfirmation,Average,,The server is operational again The server has previously been shutdown by the Automatic Server Recovery (ASR) feature and has just become operational again,The server is operational again The server has previously been shutdown by the Automa...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6026,cpqHe3ThermalConfirmation,Average,,The server is operational again The server has previously been shutdown due to a thermal anomaly on the server and has just become operational again,The server is operational again The server has previously been shutdown due to a ther...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6027,cpqHe3PostError,Average,,One or more POST errors occurred Power On SelfTest (POST) errors occur during the server restart process Details of the POST error messages can be found in Integrated Management Log,One or more POST errors occurred Power On SelfTest (POST) errors occur during the ser...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6028,cpqHe3FltTolPwrSupplyDegraded,Average,,The fault tolerant power supply subsystem condition has been set to degraded,The fault tolerant power supply subsystem condition has been set to degraded.,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6029,cpqHe3CorrMemReplaceMemModule,Average,,A correctable memory log entry indicates a memory module needs to be replaced The errors have been corrected but the memory module should be replaced  The error information is reported in the variable cpqHeCorrMemErrDesc,A correctable memory log entry indicates a memory module needs to be replaced The err...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6030,cpqHe3FltTolPowerSupplyDegraded,Average,,The fault tolerant power supply condition has been set to degraded for the specified chassis and bay location,The fault tolerant power supply condition has been set to degraded for the specified ...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6031,cpqHe3FltTolPowerSupplyFailed,Average,,The fault tolerant power supply condition has been set to failed for the specified chassis and bay location,The fault tolerant power supply condition has been set to failed for the specified ch...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6032,cpqHe3FltTolPowerRedundancyLost,Average,,The Fault Tolerant Power Supplies have lost redundancy for the specified chassis,The Fault Tolerant Power Supplies have lost redundancy for the specified chassis.,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6033,cpqHe3FltTolPowerSupplyInserted,Average,,A Fault Tolerant Power Supply has been inserted into the specified chassis and bay location,A Fault Tolerant Power Supply has been inserted into the specified chassis and bay lo...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6034,cpqHe3FltTolPowerSupplyRemoved,Average,,A Fault Tolerant Power Supply has been removed from the specified chassis and bay location,A Fault Tolerant Power Supply has been removed from the specified chassis and bay loc...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6035,cpqHe3FltTolFanDegraded,Average,,The Fault Tolerant Fan condition has been set to degraded for the specified chassis and fan,The Fault Tolerant Fan condition has been set to degraded for the specified chassis a...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6036,cpqHe3FltTolFanFailed,Average,,The Fault Tolerant Fan condition has been set to failed for the specified chassis and fan,The Fault Tolerant Fan condition has been set to failed for the specified chassis and...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6037,cpqHe3FltTolFanRedundancyLost,Average,,The Fault Tolerant Fans have lost redundancy for the specified chassis,The Fault Tolerant Fans have lost redundancy for the specified chassis.,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6038,cpqHe3FltTolFanInserted,Average,,A Fault Tolerant Fan has been inserted into the specified chassis and fan location,A Fault Tolerant Fan has been inserted into the specified chassis and fan location.,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6039,cpqHe3FltTolFanRemoved,Average,,A Fault Tolerant Fan has been removed from the specified chassis and fan location,A Fault Tolerant Fan has been removed from the specified chassis and fan location.,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6040,cpqHe3TemperatureFailed,Average,,The temperature status has been set to failed in the specified chassis and location The system will be shutdown due to this condition,The temperature status has been set to failed in the specified chassis and location T...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6041,cpqHe3TemperatureDegraded,Average,,The temperature status has been set to degraded in the specified chassis and location The server's temperature is outside of the normal operating range  The server will be shutdown if the cpqHeThermalDegradedAction variable is set to shutdown(),The temperature status has been set to degraded in the specified chassis and location...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6042,cpqHe3TemperatureOk,Average,,The temperature status has been set to ok in the specified chassis and location The server's temperature has returned to the normal operating range,The temperature status has been set to ok in the specified chassis and location The s...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6043,cpqHe3PowerConverterDegraded,Average,,The DCDC Power Converter condition has been set to degraded for the specified chassis slot and socket,The DCDC Power Converter condition has been set to degraded for the specified chassis...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6044,cpqHe3PowerConverterFailed,Average,,The DCDC Power Converter condition has been set to failed for the specified chassis slot and socket,The DCDC Power Converter condition has been set to failed for the specified chassis s...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6045,cpqHe3PowerConverterRedundancyLost,Average,,The DCDC Power Converters have lost redundancy for the specified chassis,The DCDC Power Converters have lost redundancy for the specified chassis.,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6046,cpqHe3CacheAccelParityError,Average,,A cache accelerator parity error indicates a cache module needs to be replaced The error information is reported in the variable cpqHeEventLogErrorDesc,A cache accelerator parity error indicates a cache module needs to be replaced The er...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6047,cpqHeResilientMemOnlineSpareEngaged,Average,,Advanced Memory Protection Online Spare Engaged The Advanced Memory Protection subsystem has detected a memory fault The Online Spare Memory has been activated User Action Schedule server downtime to replace the faulty memory,Advanced Memory Protection Online Spare Engaged The Advanced Memory Protection subsys...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6048,cpqHe4FltTolPowerSupplyOk,Average,,The fault tolerant power supply condition has been set back to the OK state for the specified chassis and bay location,The fault tolerant power supply condition has been set back to the OK state for the s...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6049,cpqHe4FltTolPowerSupplyDegraded,Average,,The fault tolerant power supply condition has been set to degraded for the specified chassis and bay location,The fault tolerant power supply condition has been set to degraded for the specified ...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6050,cpqHe4FltTolPowerSupplyFailed,Average,,The fault tolerant power supply condition has been set to failed for the specified chassis and bay location,The fault tolerant power supply condition has been set to failed for the specified ch...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6051,cpqHeResilientMemMirroredMemoryEngaged,Average,,Advanced Memory Protection Mirrored Memory Engaged The Advanced Memory Protection subsystem has detected a memory fault Mirrored Memory has been activated User Action Replace the faulty memory,Advanced Memory Protection Mirrored Memory Engaged The Advanced Memory Protection sub...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6052,cpqHeResilientAdvancedECCMemoryEngaged,Average,,Advanced Memory Protection Advanced ECC Memory Engaged The Advanced Memory Protection subsystem has detected a memory fault Advanced ECC has been activated User Action Replace the faulty memory,Advanced Memory Protection Advanced ECC Memory Engaged The Advanced Memory Protection...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6053,cpqHeResilientMemXorMemoryEngaged,Average,,Advanced Memory Protection XOR Engine Memory Engaged The Advanced Memory Protection subsystem has detected a memory fault The XOR engine has been activated User Action Replace the faulty memory,Advanced Memory Protection XOR Engine Memory Engaged The Advanced Memory Protection s...,NONE,3d
cpqhlth.mib,compaq,.1.3.6.1.4.1.232.0.6054,cpqHe3FltTolPowerRedundancyRestored,Average,,The Fault Tolerant Power Supplies have returned to a redundant state for the specified chassis,The Fault Tolerant Power Supplies have returned to a redundant state for the specifie...,NONE,3d
