MIB-MODULE,MIB File,OID,Name,Recommended Action,Comments,Description,Trigger Description,Dependency,cleartime In Days
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.1,bt2SwPrimaryPowerSupplyFailure,Average,,A btSwPrimaryPowerSupplyFailure trap signifies that the primary power supply failed,A btSwPrimaryPowerSupplyFailure trap signifies that the primary power supply failed.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.2,bt2SwDefGwUp,Average,,A btSwDefGwUp trap signifies that the default gateway is alive,A btSwDefGwUp trap signifies that the default gateway is alive.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.3,bt2SwDefGwDown,Average,,A btSwDefGwDown trap signifies that the default gateway is down,A btSwDefGwDown trap signifies that the default gateway is down.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.4,bt2SwDefGwInService,Average,,A btSwDefGwEnabled trap signifies that the default gateway is up and in service,A btSwDefGwEnabled trap signifies that the default gateway is up and in service.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.5,bt2SwDefGwNotInService,Average,,A btSwDefGwDisabled trap signifies that the default gateway is alive but not in service,A btSwDefGwDisabled trap signifies that the default gateway is alive but not in servi...,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.16,bt2SwVrrpNewMaster,Average,,The btSwVrrpNewMaster trap indicates that the sending agent has transitioned to 'Master' state,The btSwVrrpNewMaster trap indicates that the sending agent has transitioned to 'Mast...,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.17,bt2SwVrrpNewBackup,Average,,The btSwVrrpNewBackup trap indicates that the sending agent has transitioned to 'Backup' state,The btSwVrrpNewBackup trap indicates that the sending agent has transitioned to 'Back...,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.18,bt2SwVrrpAuthFailure,Average,,A btSwVrrpAuthFailure trap signifies that a packet has been received from a router whose authentication key or authentication type conflicts with this router's authentication key or authentication type Implementation of this trap is optional,A btSwVrrpAuthFailure trap signifies that a packet has been received from a router wh...,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.19,bt2SwLoginFailure,Average,,A btSwLoginFailure trap signifies that someone failed to enter a valid usernamepassword combination,A btSwLoginFailure trap signifies that someone failed to enter a valid usernamepasswo...,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.22,bt2SwTempExceedThreshold,Average,,A btSwTempExceedThreshold trap signifies that the switch temperature has exceeded maximum safety limits,A btSwTempExceedThreshold trap signifies that the switch temperature has exceeded max...,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.26,bt2SwRackLocationChange,Average,,A btSwRackLocationChange trap signifies that the rack location has been changed,A btSwRackLocationChange trap signifies that the rack location has been changed.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.27,bt2SwApplyComplete,Average,,A btSwApplyComplete signifies that new configuration has been applied,A btSwApplyComplete signifies that new configuration has been applied.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.28,bt2SwSaveComplete,Average,,A btSwApplyComplete signifies that new configuration has been saved,A btSwApplyComplete signifies that new configuration has been saved.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.29,bt2SwFwDownloadSucess,Average,,A btSwFwDownloadSuccess signifies that firmware has been downloaded to [image|image|boot image],A btSwFwDownloadSuccess signifies that firmware has been downloaded to [image|image|b...,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.30,bt2SwFwDownloadFailure,Average,,A btSwFwDownloadFailure signifies that firmware downloaded failed to [image|image|boot image],A btSwFwDownloadFailure signifies that firmware downloaded failed to [image|image|boo...,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.31,bt2SwTempReturnThreshold,Average,,A btSwTempReturnThreshold trap signifies that the switch temperature has returned below maximum safety limits,A btSwTempReturnThreshold trap signifies that the switch temperature has returned bel...,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.32,bt2SwFanFailure,Average,,A btSwFanFailure trap signifies that the fan failure has been detected,A btSwFanFailure trap signifies that the fan failure has been detected.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.33,bt2SwFanFailureFixed,Average,,A btSwFanFailureFixed trap signifies that the fan failure has been fixed,A btSwFanFailureFixed trap signifies that the fan failure has been fixed.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.34,bt2SwUfdfoLtMFailure,Average,, A btSwUfdfoLtMFailure trap signifies that a LtM link is down, A btSwUfdfoLtMFailure trap signifies that a LtM link is down.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.35,bt2SwUfdfoLtMUP,Average,, A btSwUfdfoLtMUP trap signifies that a LtM link is up, A btSwUfdfoLtMUP trap signifies that a LtM link is up.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.36,bt2SwUfdfoGlobalEna,Average,, A btSwUfdfoGlobalEna trap signifies that Global UFD is enabled, A btSwUfdfoGlobalEna trap signifies that Global UFD is enabled.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.37,bt2SwUfdfoGlobalDis,Average,, A btSwUfdfoGlobalDis trap signifies that Global UFD is disabled, A btSwUfdfoGlobalDis trap signifies that Global UFD is disabled.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.38,bt2SwUfdfoLtDAutoEna,Average,, A btSwUfdfoLtDAutoEna trap signifies that a LtD link is Auto Enabled, A btSwUfdfoLtDAutoEna trap signifies that a LtD link is Auto Enabled.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.39,bt2SwUfdfoLtDAutoDis,Average,, A btSwUfdfoLtDAutoDis trap signifies that a LtD link is Auto Disabled, A btSwUfdfoLtDAutoDis trap signifies that a LtD link is Auto Disabled.,NONE,3d
bladetype2-trap.mib,bt2Traps,.1.3.6.1.4.1.11.2.3.7.11.33.1.2.7.0.40,bt2SwCubeInserted,Average,, A Cube was inserted, A Cube was inserted.,NONE,3d
