MIB-MODULE,MIB File,OID,Name,Recommended Action,Comments,Description,Trigger Description,Dependency,cleartime In Days
insmib.MIB,ins,.1.3.6.1.4.1.169.10.1.0.1,insSubagentRestartTrap,Average,,The INS Subagent has (re)started  The PDU contains the INS trap sequence count (which for this trap is always ) and the startup mode (cold warm) ,The INS Subagent has (re)started  The PDU contains the INS trap sequence count (which...,NONE,3d
insmib.MIB,ins,.1.3.6.1.4.1.169.10.1.0.2,insNodeMgmtActivated,Average,,SNMP management for a given INS node has been activated The PDU contains the INS trap sequence count and the INS node ID ,SNMP management for a given INS node has been activated The PDU contains the INS trap...,NONE,3d
insmib.MIB,ins,.1.3.6.1.4.1.169.10.1.0.3,insNodeMgmtDeactivated,Average,,SNMP management for a given INS node has been deactivated The PDU contains the INS trap sequence count and the INS node ID ,SNMP management for a given INS node has been deactivated The PDU contains the INS tr...,NONE,3d
insmib.MIB,insErad,.1.3.6.1.4.1.169.10.1.1.0.1,insAlarmActivateTrap,Average,,Issued when an alarm is activated  The PDU contains the global trap sequence number INS node ID alarm table entry count timestamp of table update alarm ID miscellaneous attributes encoded as display string descriptive text and alarm location ,Issued when an alarm is activated  The PDU contains the global trap sequence number I...,NONE,3d
insmib.MIB,insErad,.1.3.6.1.4.1.169.10.1.1.0.2,insAlarmDeactivateTrap,Average,,One or more alarms have been deactivated by the INS Subagent The PDU contains the global trap sequence number INS node ID active alarm count (after rendering this operation) timestamp of alarm table update deactivate mode (insAlarmStatus) and deactivation cause  Whether values for the remaining objects (insAlarmId insEradCatId insAlarmEradNum) are meaningful depends upon the deactivate mode as follows Mode                Consequence 'offone' ()       Release the alarm associated with the alarm ID value given by the insAlarmId object  Values for the insEradCatId and insAlarmEradNum objects are meaningless 'offall' ()       Release all alarms  Values for the insAlarmId insEradCatId and insAlarmEradNum objects are meaningless 'offcategory' ()  Release alarms of the category identified by the insEradCatId object  Values for the insAlarmId and insAlarmEradNum objects are meaningless 'offgroup' ()     Release alarms with the ER report number given by the insAlarmEradNum object and category given by the insEradCatId object The value of the insAlarmId object is meaningless ,One or more alarms have been deactivated by the INS Subagent The PDU contains the glo...,NONE,3d
insmib.MIB,insErad,.1.3.6.1.4.1.169.10.1.1.0.3,insEradTrap,Average,,This trap conveys informational ER (nonalarmable event) information  The PDU contains the INS trap sequence number INS node ID and ER text ( lines combined in one string) ,This trap conveys informational ER (nonalarmable event) information  The PDU contains...,NONE,3d
insmib.MIB,insErad,.1.3.6.1.4.1.169.10.1.1.0.4,insEradAlarmSubsystemRestart,Average,,This trap signals that the alarm subsystem has reinitialized as a result of a configuration change or fault recovery  SNMP Manager Applications should refresh any cache they maintain of alarmassociated data ,This trap signals that the alarm subsystem has reinitialized as a result of a configu...,NONE,3d
insmib.MIB,insErad,.1.3.6.1.4.1.169.10.1.1.0.5,insFullTextEradTrap,Average,,This trap conveys informational ER (nonalarmable event) information  The PDU contains the INS trap sequence number INS node ID and full ER text (all lines combined in one string) ,This trap conveys informational ER (nonalarmable event) information  The PDU contains...,NONE,3d
insmib.MIB,insStats,.1.3.6.1.4.1.169.10.1.2.0.1,insStatsRestart,Average,,This trap indicates that the Statistics subsystem has been (re)initialized for the indicated INS node  This occurs at program startup (or restart in case of a fatal failure) and when the INS node statistics configuration is changed and cut over  NSMs should flush any cached statistics configuration data and retrieve a fresh set from the SNMP Agent ,This trap indicates that the Statistics subsystem has been (re)initialized for the in...,NONE,3d
insmib.MIB,insStats,.1.3.6.1.4.1.169.10.1.2.0.2,insStatsRegSetTableChanged,Average,,This trap indicates that new statistics register set mapping data has been added to the insStatsRegSetIdTable and insStatsRegSetNameTable objects for the indicated INS node REFERENCE insStatsRegSetIdTable and insStatsRegSetNameTable,This trap indicates that new statistics register set mapping data has been added to t...,NONE,3d
insmib.MIB,insStats,.1.3.6.1.4.1.169.10.1.2.0.3,insStatsGroupSumPosted,Average,,This trap indicates that a new statistics summary has been posted for a given statistics group on a given node ,This trap indicates that a new statistics summary has been posted for a given statist...,NONE,3d
insmib.MIB,insNwConfig,.1.3.6.1.4.1.169.10.1.3.0.1,insNwCfgTableChange,Average,,Identifies a network configuration table that has been initialized or has changed ,Identifies a network configuration table that has been initialized or has changed .,NONE,3d
