MIB-MODULE,MIB File,OID,Name,Recommended Action,Comments,Description,Trigger Description,Dependency,cleartime In Days
AFFIRMED-TEMS-NOTIFICATION-MIB,AFFIRMED-ALARM-MIB.mib,.1.3.6.1.4.1.37963.6.3.1.3.1,networkElementNotReachable,Average,,"Management Server will send this notification to its NB Clients (NMS / OSS) whenever
a managed network element turns unreachable (ICMP).",Managed network element turns unreachable (ICMP).,NONE,3d
AFFIRMED-TEMS-NOTIFICATION-MIB,AFFIRMED-ALARM-MIB.mib,.1.3.6.1.4.1.37963.6.3.1.3.2,networkElementNotManageable,Average,,"Management Server will send this notification to its NB Clients (NMS / OSS) whenever
a managed network element is reachable via ICMP but not reachable via the Management protocol (SNMP / TL1 )",Managed network element is reachable via ICMP but not reachable via the Management protocol (SNMP / TL1 ),.1.3.6.1.4.1.37963.6.3.1.3.3,3d
AFFIRMED-TEMS-NOTIFICATION-MIB,AFFIRMED-ALARM-MIB.mib,.1.3.6.1.4.1.37963.6.3.1.3.3,networkElementManageable,Clear,,"Management Server will send this notification to its NB Clients (NMS / OSS) to clear the
unreachable / not manageable events raised previously.",NB Clients (NMS / OSS) to clear the unreachable / not manageable events raised previously.,NONE,3d
AFFIRMED-TEMS-NOTIFICATION-MIB,AFFIRMED-ALARM-MIB.mib,.1.3.6.1.4.1.37963.6.3.1.3.4,unSupportedNetworkElementVersion,Average,,"Management Server will send this notification to its NB Clients (NMS / OSS) whenever it
encounters / discovers a Network element running an Unsupported software version.",Encounters / discovers a Network element running an Unsupported software version.,NONE,3d
AFFIRMED-TEMS-NOTIFICATION-MIB,AFFIRMED-ALARM-MIB.mib,.1.3.6.1.4.1.37963.6.3.1.3.5,cliLoginFailed,Average,,"Management Server will send this notification to its NB Clients (NMS / OSS) whenever it
could not login to the CLI (or TL1) session of the Network Element using the supplied
Credentials",Could not login to the CLI (or TL1) session of the Network Element using the supplied Credentials,NONE,3d
AFFIRMED-TEMS-NOTIFICATION-MIB,AFFIRMED-ALARM-MIB.mib,.1.3.6.1.4.1.37963.6.3.1.3.6,alarmEmailNotificationFailure,Average,,"Management Server will send this notification to its NB Clients (NMS / OSS) upon its
Failure to send the E-Mail Notification to NB Clients registered for E-Mail Notification",Failure to send the E-Mail Notification to NB Clients registered for E-Mail Notification,NONE,3d
AFFIRMED-TEMS-NOTIFICATION-MIB,AFFIRMED-ALARM-MIB.mib,.1.3.6.1.4.1.37963.6.3.1.3.7,dataCollectionFailure,Average,,"Indicates a Failure during Data Collection.
NB managers can either ignore it (or) log-it.",Failure during Data Collection. NB managers can either ignore it (or) log-it.,NONE,3d
AFFIRMED-TEMS-NOTIFICATION-MIB,AFFIRMED-ALARM-MIB.mib,.1.3.6.1.4.1.37963.6.3.1.3.8,temsServerPerfMetricCriticalTCA,Critical,,"Management Server will send this notification to its NB Clients (NMS / OSS) to report
a Critical Threshold Crossing Alert, whenever the Critical Threshold limit is
crossed for the current Performance Metric",Critical Threshold Crossing Alert.,.1.3.6.1.4.1.37963.6.3.1.3.11,3d
AFFIRMED-TEMS-NOTIFICATION-MIB,AFFIRMED-ALARM-MIB.mib,.1.3.6.1.4.1.37963.6.3.1.3.9,temsServerPerfMetricMajorTCA,Major,,"Management Server will send this notification to its NB Clients (NMS / OSS) to report
a Major Threshold Crossing Alert, whenever the Major Threshold limit is
crossed for the current Performance Metric",Major Threshold Crossing Alert,.1.3.6.1.4.1.37963.6.3.1.3.11,3d
AFFIRMED-TEMS-NOTIFICATION-MIB,AFFIRMED-ALARM-MIB.mib,.1.3.6.1.4.1.37963.6.3.1.3.10,temsServerPerfMetricMinorTCA,Minor,,"Management Server will send this notification to its NB Clients (NMS / OSS) to report
a Minor Threshold Crossing Alert, whenever the Minor Threshold limit is
crossed for the current Performance Metric",Minor Threshold Crossing Alert,.1.3.6.1.4.1.37963.6.3.1.3.11,3d
