MIB-MODULE,MIB File,OID,Name,Recommended Action,Comments,Description,Trigger Description,Dependency,cleartime In Days
DISMAN-SCHEDULE-MIB,DISMAN-SCHEDULE-MIB,.1.3.6.1.2.1.63.2.0.1,schedActionFailure,Average,,"""This notification is generated whenever the invocation of a
scheduled action fails.""",Scheduled Action FAILED.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.1,tmnxHwConfigChange,Average,,"""A tmnxHwConfigChange notification is generated when the value of
tmnxHwLastChange is updated.  It can be used by the NMS to trigger
maintenance polls of the hardware configuration information.
Only one tmnxHwConfigChange notification event will be generated
in a 5 second throttling time period.  A notification event is
the transmission of a single trap to a list of notification
destinations configured in the SNMP-TARGET-MIB.
If additional hardware configuration change occurs within the
throttling period, the notification events for these changes are
suppressed until the throttling period expires.  At the end of
the throttling period, one notification event is generated if
any addition configuration changes occurred within the just
completed throttling period and another throttling period is
started.
The NMS should periodically check the value of tmnxHwConfigChange
to detect any missed tmnxHwConfigChange traps.
This notification was made obsolete in the 2.1 release.
The tmnxHwConfigChange notification has been replaced
with the generic change notifications from the
TIMETRA-SYSTEM-MIB:tmnxConfigModify, tmnxConfigCreate,
tmnxConfigDelete, tmnxStateChange.""",`tmnxHwLastChange` is updated.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.2,tmnxEnvTempTooHigh,Critical,,"""Generated when the temperature sensor reading on an equipment
object is greater than its configured threshold.""",Temperature sensor reading is High.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.3,tmnxEqPowerSupplyFailure,Critical,,"""Generated when one of the chassis's power supplies fails.""",Power Supply FAILED.,.1.3.6.1.4.1.6527.3.1.3.2.1.0.4,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.4,tmnxEqPowerSupplyInserted,Clear,,"""Generated when one of the chassis's power supplies is inserted.""",Power Supply Inserted.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.5,tmnxEqPowerSupplyRemoved,Major,,"""Generated when one of the chassis's power supplies is removed.""",Power Supply Removed.,.1.3.6.1.4.1.6527.3.1.3.2.1.0.4,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.6,tmnxEqFanFailure,Critical,,"""Generated when one of the fans in a fan tray has failed.""",Fan in Fan tray has FAILED.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.7,tmnxEqCardFailure,Critical,,"""Generated when one of the cards in a chassis has failed.  The card
type may be IOM, Fabric, MDA, MCM, CCM, CPM module, compact flash
module, etc. tmnxChassisNotifyCardFailureReason contains the reason
for card failure.""",Cards in a chassis has FAILED.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.8,tmnxEqCardInserted,Average,,"""Generated when a card is inserted into the chassis.  The card type
may be IOM, Fabric, MDA, MCM, CCM CPM module, compact flash module,
etc.""",Card has been inserted.,.1.3.6.1.4.1.6527.3.1.3.2.1.0.9,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.9,tmnxEqCardRemoved,Average,,"""Generated when a card is removed from the chassis.  The card type
may be IOM, Fabric, MDA, MCM, CCM, CPM module, compact flash module,
etc.""",Card removed from the Chassis.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.10,tmnxEqWrongCard,Major,,"""Generated when the wrong type of card is inserted into a slot of
the chassis.  Even though a card may be physically supported by
the slot, it may have been administratively configured to allow
only certain card types in a particular slot location.  The card
type may be IOM, Fabric, MDA, MCM, CPM module, etc.""",Wrong type Cardinserted into Chassis.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.11,tmnxEqCpuFailure,Critical,,"""Generated when a failure is detected for a CPU on an IOM card or
CPM module.
This notification was made obsolete in the 2.1 release.
A cpu failure on a CPM card is detected by the hardware
bootup and is indicated by the boot diagnostic display.
If there is no working redundant CPM card, the system
does not come up.
A failure of an IOM card or standby redundant CPM card
causes the tmnxEqCardFailure notification to be sent.""",CPU FAILED.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.12,tmnxEqMemoryFailure,Critical,,"""Generated when a memory module failure is detected for an IOM card or
CPM module.
This notification was made obsolete in the 2.1 release.
A failure of the memory device is detected by the
hardware bootup and is indicated by the boot diagnostic
display.  If there is no working redundant CPM card,
the system does not come up.
A failure of the memory device during run-time causes
the system to fail and the 'admin tech-support'
information to be saved.
A failure of an IOM card or standby redundant CPM card
causes the tmnxEqCardFailure notification to be sent.""",MEMORY FAILED.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.13,tmnxEqBackdoorBusFailure,Critical,,"""Generated when the backdoor bus has failed.
This notification was made obsolete in the 2.1 release.""",Backdoor bus has FAILED.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.14,tmnxPeSoftwareError,Major,,"""Generated when a software error has been detected.
This notification was made obsolete in the 2.1 release.
Many of the other notifications more specifically
indicate detection of some type of software error.
The 'admin tech-support' information helps developers
diagnose a failure of the software in the field.""",Software Error Detected.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.15,tmnxPeSoftwareAbnormalHalt,Major,,"""Generated when the software has abnormally terminated.
This notification was made obsolete in the 2.1 release.
Many of the other notifications more specifically
indicate detection of some type of software error.
The 'admin tech-support' information helps developers
diagnose a failure of the software in the field.""",Software halt Abnormally.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.16,tmnxPeSoftwareVersionMismatch,Average,,"""Generated when there is a mismatch between software versions of the
active CPM and standby CPM or the CPM and IOM.
tmnxChassisNotifyHwIndex identifies the mismatched CPM/IOM card and
tmnxChassisNotifyMismatchedVer will contain the version of the
mismatched card. The tmnxHwSoftwareCodeVersion object will contain
the expected version.""",Software Version Mismatch.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.17,tmnxPeOutOfMemory,Major,,"""Generated when there is an out of memory error detected.
This notification was made obsolete in the 2.1 release.
The tmnxPeOutOfMemory notification has been replaced
with the module specific notification from the
TIMETRA-SYSTEM-MIB:tmnxModuleMallocFailed.""",Out Of Memory Dectected.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.18,tmnxPeConfigurationError,Average,,"""Generated when a configuration error has been detected.
This notification was made obsolete in the 2.1 release.
Many other notifications more specifically indicate
detection of a configuration error.  In most cases the
SNMP SET request that tries to make an invalid
configuration results in an error response.
In some cases the configuration parameters are valid
and the SNMP SET request succeeds but the system cannot
successfully apply the new parameters.  The affected
object may then put into an operational 'down' state.
A state change notification such as tmnxStateChange or
a more specific notification is sent to alert about the
problem.
For example, an attempt to create an event log with a
file-type destination when the specified cflash media is
full or not present results in TIMETRA-LOG-MIB
notifications tmnxLogSpaceContention, tmnxLogAdminLocFailed,
or tmnxLogBackupLocFailed.""",Configuration Error Detected.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.19,tmnxPeStorageProblem,Average,,"""Generated when there is a storage capacity problem.
This notification was made obsolete in the 2.1 release.
The only 'storage' devices on the SR7750 are the cflash
drives.  Cflash write errors cause a tmnxEqFlashDataLoss
notification to be sent.  The tmnxEqFlashDiskFull
notification is sent when the driver detects that the
cflash device is full.""",Storage Capacity Problem Dectected.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.20,tmnxPeCpuCyclesExceeded,Average,,"""Generated when the CPU cycle usage limit has been exceeded.
This notification was made obsolete in the 2.1 release.
It does not apply. The SR7750 software architecture does
not restrict CPU cycles used by a specific code module.""",CPU cycle usage Exceeded.,NONE,3d
TIMETRA-CHASSIS-MIB,TIMETRA-CHASSIS-MIB,.1.3.6.1.4.1.6527.3.1.3.2.1.0.21,tmnxRedPrimaryCPMFail,Critical,,"""Generated when the primary CPM fails.""",Primary CPM FAILED.,NONE,3d
