MIB-MODULE,MIB File,OID,Name,Recommended Action,Comments,Description,Trigger Description,Dependency,cleartime In Days
Roamware-CSVProcessor-V2-MIB,Roamware-CSVProcessor-V2-MIB,.1.3.6.1.4.1.11150.89.2.0.1,csvProcessorSysUp,Clear,,Indicates that the CSVProcessor is up and active.,Indicates that the CSVProcessor is up and active.,NONE,3d
Roamware-CSVProcessor-V2-MIB,Roamware-CSVProcessor-V2-MIB,.1.3.6.1.4.1.11150.89.2.0.2,csvProcessorSysDown,Major,,Indicates that the CSVProcessor is shutting down.,Indicates that the CSVProcessor is shutting down.,.1.3.6.1.4.1.11150.89.2.0.1,3d
Roamware-CSVProcessor-V2-MIB,Roamware-CSVProcessor-V2-MIB,.1.3.6.1.4.1.11150.89.2.0.3,csvProcessorDBConnStatus,Average,,Indicates the database connection status.,Indicates the database connection status.,NONE,3d
Roamware-CSVProcessor-V2-MIB,Roamware-CSVProcessor-V2-MIB,.1.3.6.1.4.1.11150.89.2.0.4,csvProcessorProcessingError,Major,,Indicates a processing error in CSVProcessor.,Indicates a processing error in CSVProcessor.,NONE,3d
Roamware-CSVProcessor-V2-MIB,Roamware-CSVProcessor-V2-MIB,.1.3.6.1.4.1.11150.89.2.0.5,csvProcessorFileRotateError,Major,,Indicates a problem with file rotation.,Indicates a problem with file rotation.,NONE,3d
Roamware-iMAS-V2-MIB,Roamware-iMAS-V2-MIB,.1.3.6.1.4.1.11150.115.5.0.1,imasSysUp,Clear,,Indicates that the iMAS instance is up and active.,Indicates that the iMAS instance is up and active.,NONE,3d
Roamware-iMAS-V2-MIB,Roamware-iMAS-V2-MIB,.1.3.6.1.4.1.11150.115.5.0.2,imasSysDown,Average,,Indicates that the iMAS instance is shutting down.,Indicates that the iMAS instance is shutting down.,.1.3.6.1.4.1.11150.115.5.0.1,3d
Roamware-iMAS-V2-MIB,Roamware-iMAS-V2-MIB,.1.3.6.1.4.1.11150.115.5.0.3,imasDBConn,Major,,Indicates abnormal condition with a database connection pool.,Indicates abnormal condition with a database connection pool.,NONE,3d
Roamware-iMAS-V2-MIB,Roamware-iMAS-V2-MIB,.1.3.6.1.4.1.11150.115.5.0.4,imasHeartBeat,Information,,Indicates a heartbeat to inform that the application is running normally.,Indicates a heartbeat to inform that the application is running normally.,NONE,3d
Roamware-iMAS-V2-MIB,Roamware-iMAS-V2-MIB,.1.3.6.1.4.1.11150.115.5.0.5,imasResync,Information,,Indicates start and end of traps resync activity.,Indicates start and end of traps resync activity.,NONE,3d
