MIB-MODULE,MIB File,OID,Name,Recommended Action,Comments,Description,Trigger Description,Dependency,cleartime In Days
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.3000.5.1.1,chkpntTempertureTrap,Average,,Temperture sensor alert (Sensor name provided in trap),Temperture sensor alert (Sensor name provided in trap),NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.3000.5.2.1,chkpntFanSpeedTrap,Average,,Fan speed sensor alert (Sensor name provided in trap),Fan speed sensor alert (Sensor name provided in trap),NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.3000.5.3.1,chkpntVoltageTrap,Average,,Voltage sensor alert (Sensor name provided in trap),Voltage sensor alert (Sensor name provided in trap),NONE,3d
CHECKPOINT-GAIA-TRAP-MIB,CHECKPOINT-GAIA-TRAP-MIB,enterprises.2620.1.3000.5.4.1,chkpntPowerSupplyTrap,Average,,Power supply sensor alert (Sensor name provided in trap),Power supply sensor alert (Sensor name provided in trap),NONE,3d
CHECKPOINT-GAIA-TRAP-MIB,CHECKPOINT-GAIA-TRAP-MIB,enterprises.2620.1.3000.10.1.1,chkpntSystemConfigurationChangeTrap,Average,,System configuration was changed,System configuration was changed,NONE,3d
CHECKPOINT-GAIA-TRAP-MIB,CHECKPOINT-GAIA-TRAP-MIB,enterprises.2620.1.3000.10.1.2,chkpntSystemConfigurationSaveTrap,Average,,System configuration was saved,System configuration was saved,NONE,3d
CHECKPOINT-GAIA-TRAP-MIB,CHECKPOINT-GAIA-TRAP-MIB,enterprises.2620.1.3000.2.1.1,chkpntRAIDVolumeStateTrap,Average,,"The RAID volume state is not optimal. Volume state, volume flags, disk state and disk flags are included.","The RAID volume state is not optimal. Volume state, volume flags, disk state and disk flags are included.",NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.2.1,chkpntDiskSpaceTrap,Average,,"Monitored disk partiton is dangerously full alert, alerts when multiDiskFreeAvailablePercent <=X (filesystem name in trap)","Monitored disk partiton is dangerously full alert, alerts when multiDiskFreeAvailablePercent <=X (filesystem name in trap)",NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.2.2,chkpntRAIDVolumeTrap,Average,,"Monitored RAID volume state, alerts when raidVolumeState =2(volume ID in trap)","Monitored RAID volume state, alerts when raidVolumeState =2(volume ID in trap)",NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.2.3,chkpntRAIDDiskTrap,Average,,"Monitored RAID disk state alert, alerts when raidDiskState is one of [DEGRADED (1), FAILED(2) or UNKNOWN(255)](disk ID and volume ID in trap)",Monitored RAID disk state alert,NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.2.4,chkpntRAIDDiskFlagsTrap,Average,,"Monitored RAID disk flag alert, alerts when raidDiskFalgs contains the OUT_OF_SYNC(0x01) or QUIESCED(0x02) flags (disk ID and volume ID in trap)",Monitored RAID disk flag alert,NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.1.1,chkpntTrapNetIfState,Average,,"Interface admin status alert, alerts when svnNetIfState =0(Interface name provided in trap)","Interface admin status alert, alerts when svnNetIfState =0(Interface name provided in trap)",NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.1.2,chkpntTrapNetIfUnplugged,Average,,"Interface unplugged alert, alerts when an interface disappear from svnNetIfTable(Interface name provided in trap)","Interface unplugged alert, alerts when an interface disappear from svnNetIfTable(Interface name provided in trap)",NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.1.3,chkpntTrapNewConnRate,Average,,"New connection rate alert, alerts when the new connection rate equals\exceeds X (New Connections/Sec)","New connection rate alert, alerts when the new connection rate equals\exceeds X (New Connections/Sec)",NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.1.4,chkpntTrapConcurrentConnRate,Average,,"Concurrent connections rate alert, alerts when fwNumConn >=X (Connections/Sec)","Concurrent connections rate alert, alerts when fwNumConn >=X (Connections/Sec)",NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.1.5,chkpntTrapBytesThroughput,Average,,"Bytes throughput alert, alerts when the throughput equals\exceeds X (Bytes/Sec)","Bytes throughput alert, alerts when the throughput equals\exceeds X (Bytes/Sec)",NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.1.6,chkpntTrapAcceptedPacketRate,Average,,"Accepted packet rate alert, alerts when the accepted packet rate equals\exceeds X (Packets/Sec)","Accepted packet rate alert, alerts when the accepted packet rate equals\exceeds X (Packets/Sec)",NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.1.7,chkpntTrapNetIfOperState,Average,,"Interface operational link status alert, alerts when svnNetIfOperState =0(Interface name provided in trap)","Interface operational link status alert, alerts when svnNetIfOperState =0(Interface name provided in trap)",NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.1.8,chkpntTrapNetIfRXDrop,Average,,"Interface RX drops changed alert, alerts when svnNetIfRXDrop changed","Interface RX drops changed alert, alerts when svnNetIfRXDrop changed",NONE,3d
CHECKPOINT-TRAP-MIB,CHECKPOINT-TRAP-MIB,enterprises.2620.1.2000.3.1,chkpntCPUCoreUtilTrap,Average,,"Core utilization alert, alerts when multiProcUsage >=X (core name in trap)","Core utilization alert, alerts when multiProcUsage >=X (core name in trap)",NONE,3d
