MIB-MODULE,MIB File,OID,Name,Recommended Action,Comments,Description,Trigger Description,Dependency,cleartime In Days
ILO,ILO,.1.3.6.1.4.1.232.0.5004,cpqTapePhyDrvStatusChange ,Information,,Tape Drive Status Change;The agent has detected a change in the status of aTape drive;  The current physical drive status isindicated in the cpqTapePhyDrvCondition variable;,Tape Drive Status Change-Physical,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.5018,cpqTapeLibraryStatusChange ,Information,,Tape Library Status ChangeThe Storage Agent has detected a change in the status of atape library;  The current tape library status isindicated in the cpqTapeLibraryState variable;,Tape Drive Status Change-Library,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.5019,cpqTape5PhyDrvStatusChange ,Information,,Tape Drive Status Change;The Storage Agent has detected a change in the status of atape drive;  The current physical drive status isindicated in the cpqTapePhyDrvStatus variable;,Tape 5Drive Status Change-Physical,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.5016,cpqTape4PhyDrvStatusChange ,Information,,Tape Drive Status Change;The Storage Agent has detected a change in the status of aTape drive;  The current physical drive status isindicated in the cpqTapePhyDrvStatus variable;,Tape 4Drive Status Change-Physical,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.5007,cpqTape3PhyDrvStatusChange ,Information,,Tape Drive Status Change;The agent has detected a change in the status of aTape drive;  The current physical drive status isindicated in the cpqTapePhyDrvCondition variable;,Tape 3Drive Status Change-Physical,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.5009,cpqTape3PhyDrvCleanTapeReplace ,Information,,Tape Drive Cleaning Tape Needs Replacing;The agent has detected that an autoloader tape unit hasa cleaning tape that has been fully used and therefore needs tobe replaced with a new cleaning tape;,Tape 3Drive Cleaning Tape Needs Replacing,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.5008,cpqTape3PhyDrvCleaningRequired ,Average,,Tape Drive Cleaning Required trap;The agent has detected a tape drive that needs to havea cleaning tape inserted and run;  This will cause the tape driveheads to be cleaned;,Tape 3Drive Cleaning Tape Needs Cleaning,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.5011,cpqTape3LibraryOkay ,Clear,,Tape Library OkayThe agent has detected that an autoloader unit hasrecovered from errors;,Tape 3 Autoloader unit hasrecovered from error,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.5010,cpqTape3LibraryFailed ,Critical,,Tape Library ErrorThe agent has detected that an autoloader unit hasan encountered an error;,Tape 3 Autoloader unit has encounterd error,.1.3.6.1.4.1.232.0.5011,3d
ILO,ILO,.1.3.6.1.4.1.232.0.5013,cpqTape3LibraryDoorOpen ,Information,,Tape Library Door OpenThe agent has detected that the door on an autoloaderis open so the unit is not operational;,Tape 3 Drive door is open and will not work,.1.3.6.1.4.1.232.0.5014,3d
ILO,ILO,.1.3.6.1.4.1.232.0.5014,cpqTape3LibraryDoorClosed ,Information,,Tape Library Door ClosedThe agent has detected that the door on a an autoloaderhas closed;,Tape 3 Drive door is Closed now,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.5012,cpqTape3LibraryDegraded ,Average,,Tape Library DegradedThe agent has detected that an autoloader unit isin a degraded condition;,Tape 3 Drive working Degraded,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.9003,cpqSm2UnauthorizedLoginAttempts ,Average,,Remote Insight; Integrated Lights;Out Unauthorized Login Attempts;The Remote Insight; Integrated Lights;Out firmware has detectedunauthorized login attempts;,ILO/Remote Unauthorised Access Attempted,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.9001,cpqSm2ServerReset ,Average,,Server Reset Detected;The Remote Insight; Integrated Lights;Out firmware has detected a server reset;,Ilo Detected Server Reset,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.9002,cpqSm2ServerPowerOutage ,Critical,,Server Power Outage;The Remote Insight; Integrated Lights;Out firmware has detected serverpower failure;,Ilo Detected Power Outage,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.9019,cpqSm2ServerPowerOnFailure ,Critical,,A request was made to power on the server; however the server could not be powered on due to a failure condition;,ILO Detectd Power on Server failed,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.9017,cpqSm2ServerPowerOn ,Average,,The server has been powered on; This will be sent once a server power on transition has occurred;,ILO Detected The server has been powered on,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.9018,cpqSm2ServerPowerOff ,Average,,The server has been powered off; This will be sent once the server has been powered off; either by OS; or the power button; ,ILO detcted Server Power OFF by Button or OS,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.9014,cpqSm2ServerFatalError ,Critical,,Server Fatal Error Detected;The Remote Insight; Integrated Lights;Out firmware hasdetected a server fatal error;,ILO/Firmware detected Server Fatal Error,NONE,3d
ILO,ILO,.1.3.6.1.4.1.232.0.9005,cpqSm2SelfTestError ,Major,,Remote Insight; Integrated Lights;Out Self Test Error;The Remote Insight; Integrated Lights;Out firmware has detected a RemoteInsight self test error;,ILO/Firmware detected Server Self Test Error,NONE,3d
