MIB-MODULE,MIB File,OID,Name,Recommended Action,Comments,Description,Trigger Description,Dependency,cleartime In Days
Roamware-iMAS-V2-MIB,Roamware-iMAS-V2-MIB,.1.3.6.1.4.1.11150.115.5.0.1,imasSysUp,Clear,,Indicates that the iMAS instance is up and active.,Indicates that the iMAS instance is up and active.,NONE,3d
Roamware-iMAS-V2-MIB,Roamware-iMAS-V2-MIB,.1.3.6.1.4.1.11150.115.5.0.2,imasSysDown,Average,,Indicates that the iMAS instance is shutting down.,Indicates that the iMAS instance is shutting down.,.1.3.6.1.4.1.11150.115.5.0.1,3d
Roamware-iMAS-V2-MIB,Roamware-iMAS-V2-MIB,.1.3.6.1.4.1.11150.115.5.0.3,imasDBConn,Major,,Indicates abnormal condition with a database connection pool.,Indicates abnormal condition with a database connection pool.,NONE,3d
Roamware-iMAS-V2-MIB,Roamware-iMAS-V2-MIB,.1.3.6.1.4.1.11150.115.5.0.4,imasHeartBeat,Clear,,Indicates a heartbeat to inform that the application is running normally.,Indicates a heartbeat to inform that the application is running normally.,NONE,3d
Roamware-iMAS-V2-MIB,Roamware-iMAS-V2-MIB,.1.3.6.1.4.1.11150.115.5.0.5,imasResync,Information,,Indicates start and end of traps resync activity.,Indicates start and end of traps resync activity.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.1,sdsSysUp,Clear,,Indicates that the sds instance is up and active.,Indicates that the sds instance is up and active.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.2,sdsSysDown,Average,,Indicates that the sds instance is shutting down.,Indicates that the sds instance is shutting down.,.1.3.6.1.4.1.11150.84.10.0.1,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.3,sdsTrapDBConnStatus,Average,,Indicates that connection to a database connection pool is up or down.,Indicates that connection to a database connection pool is up or down.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.4,sdsTrapIPCBConnStatus,Average,,Indicates that connection to an IPCB daemon is up or down.,Indicates that connection to an IPCB daemon is up or down.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.5,sdsTrapEventQueueStatus,Average,,Indicates that the event queue is above or below high/low water mark.,Indicates that the event queue is above or below high/low water mark.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.6,sdsTrapDBWStatus,Average,,Indicates that connection to a DB writer instance (TDR interface) is up or down.,Indicates that connection to a DB writer instance (TDR interface) is up or down.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.7,sdsTrapCGWStatus,Average,,Indicates that connection to a DB writer instance (Call Gateway) is up or down.,Indicates that connection to a DB writer instance (Call Gateway) is up or down.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.8,sdsTrapSMSCConnStatus,Average,,Indicates that connection to an SMSC connection pool is up or down.,Indicates that connection to an SMSC connection pool is up or down.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.9,sdsTrapDNISAllocFail,Major,,Indicates that allocation of a temporary DNIS mapping failed.,Indicates that allocation of a temporary DNIS mapping failed.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.10,sdsTrapDNISRemoveFail,Major,,Indicates that removal of a temporary DNIS mapping failed.,Indicates that removal of a temporary DNIS mapping failed.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.11,sdsTrapDNISInsertFail,Major,,Indicates that insertion of a temporary DNIS mapping failed.,Indicates that insertion of a temporary DNIS mapping failed.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.12,sdsTrapDNISLookupFail,Major,,Indicates that lookup of a temporary DNIS mapping failed.,Indicates that lookup of a temporary DNIS mapping failed.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.13,sdsTrapDNISPoolExhaust,Major,,Indicates that a named DNIS allocation pool is used up.,Indicates that a named DNIS allocation pool is used up.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.14,sdsCacheLoadingStatus,Average,,Indicates that loading of a Cache was a success or failure.,Indicates that loading of a Cache was a success or failure.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.15,sdsFileTransferError,Major,,Indicates a problem with file transfer.,Indicates a problem with file transfer.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.16,sdsFileRotateFail,Major,,Indicates a problem with file rotation.,Indicates a problem with file rotation.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.17,sdsFilePollFail,Major,,Indicates that a file poller task was aborted.,Indicates that a file poller task was aborted.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.18,sdsFileWriteFail,Major,,Indicates a failure to write to a file.,Indicates a failure to write to a file.,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.19,sdsTrapRoleChange,Information,,Indicates a change in the role of a service instance for a feature,Indicates a change in the role of a service instance for a feature,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.20,sdsTrapRecvdTCAPAbortExceeded,Major,,Indicates that Aborts are being received for a high percentage of transactions,Indicates that Aborts are being received for a high percentage of transactions,NONE,3d
Roamware-SDS2-V2-MIB,Roamware-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.21,sdsTrapRecvdTCAPErrorExceeded,Major,,Indicates that Return Errors are being received for a high percentage of transactions,Indicates that Return Errors are being received for a high percentage of transactions,NONE,3d
