MIB-MODULE,MibFile,OID,Name,action,comments,Description,Trigger Description Name,dependency,clear time in days
Roamware-CALLSVC10-V2-MIB,Roamware-CALLSVC10-V2-MIB,enterprises.11150.95.10.0.1,callServiceTrapMOCallsTimedOut,Average,,Percentage of MO Calls timed out is too high.,Percentage of MO Calls timed out is too high.,NONE,3d
Roamware-CALLSVC10-V2-MIB,Roamware-CALLSVC10-V2-MIB,enterprises.11150.95.10.0.2,callServiceTrapMOCallsReleased,Average,,Percentage of MO Calls released by SCF is too high.,Percentage of MO Calls released by SCF is too high.,NONE,3d
Roamware-CALLSVC10-V2-MIB,Roamware-CALLSVC10-V2-MIB,enterprises.11150.95.10.0.3,callServiceTrapMOCallsAborted,Average,,Percentage of MO Calls aborted is too high.,Percentage of MO Calls aborted is too high.,NONE,3d
Roamware-CALLSVC10-V2-MIB,Roamware-CALLSVC10-V2-MIB,enterprises.11150.95.10.0.4,callServiceTrapMOCallsError,Average,,Percentage of MO Calls failed due to Return Error is too high.,Percentage of MO Calls failed due to Return Error is too high.,NONE,3d
Roamware-CALLSVC10-V2-MIB,Roamware-CALLSVC10-V2-MIB,enterprises.11150.95.10.0.5,callServiceTrapMOCallsNotAnswered,Average,,Percentage of MO Calls not answered is too high.,Percentage of MO Calls not answered is too high.,NONE,3d
Roamware-CALLSVC10-V2-MIB,Roamware-CALLSVC10-V2-MIB,enterprises.11150.95.10.0.6,callServiceTrapMOCallsBusy,Average,,Percentage of busy MO Calls is too high.,Percentage of busy MO Calls is too high.,NONE,3d
Roamware-CALLSVC10-V2-MIB,Roamware-CALLSVC10-V2-MIB,enterprises.11150.95.10.0.7,callServiceTrapMOCallsAbandoned,Average,,Percentage of MO Calls abandoned is too high.,Percentage of MO Calls abandoned is too high.,NONE,3d
Roamware-CALLSVC10-V2-MIB,Roamware-CALLSVC10-V2-MIB,enterprises.11150.95.10.0.8,callServiceTrapMOCallsRouteSelectFailure,Average,,Percentage of MO Calls failed due to Route select failure is too high.,Percentage of MO Calls failed due to Route select failure is too high.,NONE,3d
Roamware-CALLSVC10-V2-MIB,Roamware-CALLSVC10-V2-MIB,enterprises.11150.95.10.0.9,callServiceTrapMTCallsTimedOut,Average,,Percentage of MT Calls timed out is too high.,Percentage of MT Calls timed out is too high.,NONE,3d
Roamware-CALLSVC10-V2-MIB,Roamware-CALLSVC10-V2-MIB,enterprises.11150.95.10.0.10,callServiceTrapMTCallsReleased,Average,,Percentage of MT Calls released by SCF is too high.,Percentage of MT Calls released by SCF is too high.,NONE,3d
Roamware-CALLSVC10-V2-MIB,Roamware-CALLSVC10-V2-MIB,enterprises.11150.95.10.0.11,callServiceTrapMTCallsAborted,Average,,Percentage of MT Calls aborted is too high.,Percentage of MT Calls aborted is too high.,NONE,3d
