"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"srsTrapsGroup",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup",".1.3.6.1.4.1.11150.11.13",,,"","Roamware-srs-MIB",
"srsSysUp",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsSysUp",".1.3.6.1.4.1.11150.11.13.1",,,"","Roamware-srs-MIB","Indicates that the SRS system is up and active."
"srsSysDown",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsSysDown",".1.3.6.1.4.1.11150.11.13.2",,,"","Roamware-srs-MIB","Indicates that the SRS system is shutting down."
"srsInitFailed",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsInitFailed",".1.3.6.1.4.1.11150.11.13.3",,,"","Roamware-srs-MIB","Indicates Initialization of SRS failed."
"srsRemoteSystemDown",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsRemoteSystemDown",".1.3.6.1.4.1.11150.11.13.4",,,"","Roamware-srs-MIB","Obsolete."
"srsSQLExecution",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsSQLExecution",".1.3.6.1.4.1.11150.11.13.5",,,"","Roamware-srs-MIB","Indicates that SQL statement execution take more time then the configured threshold value."
"srsStaticGTMapRescan",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsStaticGTMapRescan",".1.3.6.1.4.1.11150.11.13.6",,,"","Roamware-srs-MIB","Indicates that the rescan of Srs static GT Mapping cache has started/completed/failed."
"srsHubDataRescan",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsHubDataRescan",".1.3.6.1.4.1.11150.11.13.7",,,"","Roamware-srs-MIB","Indicates that the rescan of Srs Hub Data cache has started/completed/failed."
"srsIMSIMapRescan",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsIMSIMapRescan",".1.3.6.1.4.1.11150.11.13.8",,,"","Roamware-srs-MIB","Indicates that the rescan of Srs IMSI Mapping cache has started/completed/failed."
"srsServDataRescan",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsServDataRescan",".1.3.6.1.4.1.11150.11.13.9",,,"","Roamware-srs-MIB","Indicates that the rescan of Srs Service Data cache has started/completed/failed."
"srsPartnerNWDetailsRescan",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsPartnerNWDetailsRescan",".1.3.6.1.4.1.11150.11.13.10",,,"","Roamware-srs-MIB","Indicates that the rescan of Srs Partner network details cache has started/completed/failed."
"srsIMSIRangeRescan",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsIMSIRangeRescan",".1.3.6.1.4.1.11150.11.13.11",,,"","Roamware-srs-MIB","Indicates that the rescan of Srs IMSI Range cache has started/completed/failed."
"srsNwMgmtRescan",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsNwMgmtRescan",".1.3.6.1.4.1.11150.11.13.12",,,"","Roamware-srs-MIB","Indicates that the rescan of Srs Network management cache has started/completed/failed."
"srsSubsBWListRescan",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsSubsBWListRescan",".1.3.6.1.4.1.11150.11.13.13",,,"","Roamware-srs-MIB","Indicates that the rescan of Srs subscriber black/white list cache has started/completed/failed."
"srsSubsBWRangeRescan",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsSubsBWRangeRescan",".1.3.6.1.4.1.11150.11.13.14",,,"","Roamware-srs-MIB","Indicates that the rescan of Srs subscriber black/white range cache has started/completed/failed."
"srsSysParamsCacheRescan",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsSysParamsCacheRescan",".1.3.6.1.4.1.11150.11.13.15",,,"","Roamware-srs-MIB","Indicates that the rescan of Srs system parameter cache has started/completed/failed."
"srsMessagesDropped",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsMessagesDropped",".1.3.6.1.4.1.11150.11.13.16",,,"","Roamware-srs-MIB","Indicates that too many messages dropped or dropping of messages reduced."
"srsDBStatus",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsDBStatus",".1.3.6.1.4.1.11150.11.13.17",,,"","Roamware-srs-MIB","Indicates DataBase Connection Fails."
"srsPoolMappingRescan",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsPoolMappingRescan",".1.3.6.1.4.1.11150.11.13.18",,,"","Roamware-srs-MIB","Indicates that the rescan of Srs pool mapping cache has started/completed/failed."
"srsSponsorDataRescan",".iso.org.dod.internet.private.enterprises.roamware.srs-mob.srsTrapsGroup.srsSponsorDataRescan",".1.3.6.1.4.1.11150.11.13.19",,,"","Roamware-srs-MIB","Indicates that the rescan of Srs sponsor data cache has started/completed/failed."
