"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"tcapServerTrapsGroup",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup",".1.3.6.1.4.1.11150.83.3.0",,,"","Roamware-tcapServer-V2-MIB",
"tcapServerSysUp",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup.tcapServerSysUp",".1.3.6.1.4.1.11150.83.3.0.1",,,"","Roamware-tcapServer-V2-MIB","Indicates that the TCAP Server is up and active."
"tcapServerSysDown",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup.tcapServerSysDown",".1.3.6.1.4.1.11150.83.3.0.2",,,"","Roamware-tcapServer-V2-MIB","Indicates that the TCAP Server is shutting down."
"tcapServerDBConnStatus",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup.tcapServerDBConnStatus",".1.3.6.1.4.1.11150.83.3.0.3",,,"","Roamware-tcapServer-V2-MIB","Indicates the change in connection status of the database server."
"tcapServerBusConnStatus",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup.tcapServerBusConnStatus",".1.3.6.1.4.1.11150.83.3.0.4",,,"","Roamware-tcapServer-V2-MIB","Indicates the change in availability status of message complex."
"tcapServerDlgThresholdStatus",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup.tcapServerDlgThresholdStatus",".1.3.6.1.4.1.11150.83.3.0.5",,,"","Roamware-tcapServer-V2-MIB","Deprecated - replaced by tcapServerNoDlgThresholdStatus"
"tcapServerMsgQThresholdStatus",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup.tcapServerMsgQThresholdStatus",".1.3.6.1.4.1.11150.83.3.0.6",,,"","Roamware-tcapServer-V2-MIB","Indicates that the number of messages in the message queue has reached the threshold value."
"tcapServerSS7ReadNullMsgStatus",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup.tcapServerSS7ReadNullMsgStatus",".1.3.6.1.4.1.11150.83.3.0.7",,,"","Roamware-tcapServer-V2-MIB","Indicates whether SS7 card read on the given queue is failing."
"tcapServerEnDecodesThresholdStatus",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup.tcapServerEnDecodesThresholdStatus",".1.3.6.1.4.1.11150.83.3.0.8",,,"","Roamware-tcapServer-V2-MIB","Indicates the growth of encoding/decoding failures wrt incoming messages."
"tcapServerDefaultActsThresholdStatus",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup.tcapServerDefaultActsThresholdStatus",".1.3.6.1.4.1.11150.83.3.0.9",,,"","Roamware-tcapServer-V2-MIB","Indicates the growth of default actions taken wrt incoming messages."
"tcapServerTrapsResync",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup.tcapServerTrapsResync",".1.3.6.1.4.1.11150.83.3.0.10",,,"","Roamware-tcapServer-V2-MIB","Indicates the start and end of a trap resync operation."
"tcapServerHeartbeat",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup.tcapServerHeartbeat",".1.3.6.1.4.1.11150.83.3.0.11",,,"","Roamware-tcapServer-V2-MIB","Sent periodically to indicate that Tcap Server is alive"
"tcapServerNoDlgThresholdStatus",".iso.org.dod.internet.private.enterprises.roamware.tcapServer-mob.tcapServerTrapsModule.tcapServerTrapsGroup.tcapServerNoDlgThresholdStatus",".1.3.6.1.4.1.11150.83.3.0.12",,,"","Roamware-tcapServer-V2-MIB","Indicates that there was no free dialog available for incoming transaction"
