"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"vtpNotificationsPrefix",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVtpMIB.vtpNotifications.vtpNotificationsPrefix",".1.3.6.1.4.1.9.9.46.2.0",,,"","CISCO-VTP-MIB",
"vtpConfigRevNumberError",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVtpMIB.vtpNotifications.vtpNotificationsPrefix.vtpConfigRevNumberError",".1.3.6.1.4.1.9.9.46.2.0.1",,,"","CISCO-VTP-MIB","A configuration revision number error notification
signifies that a device has incremented its
vtpConfigRevNumberErrors counter.
Generation of this notification is suppressed if the
vtpNotificationsEnabled has the value 'false'.
The device must throttle the generation of consecutive
vtpConfigRevNumberError notifications so that there is at
least a five-second gap between notification of this type.
When notification are throttled, they are dropped, not
queued for sending at a future time.  (Note that
'generating' a notification means sending to all configured
recipients.)"
"vtpConfigDigestError",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVtpMIB.vtpNotifications.vtpNotificationsPrefix.vtpConfigDigestError",".1.3.6.1.4.1.9.9.46.2.0.2",,,"","CISCO-VTP-MIB","A configuration digest error notification signifies that a
device has incremented its vtpConfigDigestErrors counter.
Generation of this notification is suppressed if the
vtpNotificationsEnabled has the value 'false'.
The device must throttle the generation of consecutive
vtpConfigDigestError notifications so that there is at least
a five-second gap between notification of this type.  When
notification are throttled, they are dropped, not queued for
sending at a future time.  (Note that 'generating' a
notification means sending to all configured recipients.)"
"vtpServerDisabled",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVtpMIB.vtpNotifications.vtpNotificationsPrefix.vtpServerDisabled",".1.3.6.1.4.1.9.9.46.2.0.3",,,"","CISCO-VTP-MIB","A VTP Server disabled notification is generated when the
local system is no longer able to function as a VTP Server
because the number of defined VLANs is greater than
vtpMaxVlanStorage.
Generation of this notification is suppressed if the
vtpNotificationsEnabled has the value 'false'."
"vtpMtuTooBig",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVtpMIB.vtpNotifications.vtpNotificationsPrefix.vtpMtuTooBig",".1.3.6.1.4.1.9.9.46.2.0.4",,,"","CISCO-VTP-MIB","A VTP MTU tooBig notification is generated when a VLAN's
MTU size is larger than can be supported either:
-by one or more of its trunk ports:
the included vtpVlanState has the value
'mtuTooBigForTrunk' and the included
vlanTrunkPortManagementDomain is for the first (or only)
trunk port,
or
-by the device itself:
vtpVlanState has the value 'mtuTooBigForDevice' and any
instance of vlanTrunkPortManagementDomain is included.
Devices which have no trunk ports do not send vtpMtuTooBig
notifications.
Generation of this notification is suppressed if the
vtpNotificationsEnabled has the value 'false'."
"vtpVersionOneDeviceDetected",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVtpMIB.vtpNotifications.vtpNotificationsPrefix.vtpVersionOneDeviceDetected",".1.3.6.1.4.1.9.9.46.2.0.6",,,"","CISCO-VTP-MIB","A VTP version one device detected notification is
generated by a device when:
a) a management domain has been put into version 2 mode
(as accessed by managementDomainVersionInUse).
b) 15 minutes has passed since a).
c) a version 1 PDU is detected on a trunk on the device
that is in that management domain which has a lower
revision number than the current configuration."
"vlanTrunkPortDynamicStatusChange",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVtpMIB.vtpNotifications.vtpNotificationsPrefix.vlanTrunkPortDynamicStatusChange",".1.3.6.1.4.1.9.9.46.2.0.7",,,"","CISCO-VTP-MIB","A vlanTrunkPortDynamicStatusChange notification is
generated by a device when the value of
vlanTrunkPortDynamicStatus object has been changed."
"vtpLocalModeChanged",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVtpMIB.vtpNotifications.vtpNotificationsPrefix.vtpLocalModeChanged",".1.3.6.1.4.1.9.9.46.2.0.8",,,"","CISCO-VTP-MIB","A vtpLocalModeChanged notification is generated 
by a device when the value of the object 
managementDomainLocalMode is changed."
"vtpVersionInUseChanged",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVtpMIB.vtpNotifications.vtpNotificationsPrefix.vtpVersionInUseChanged",".1.3.6.1.4.1.9.9.46.2.0.9",,,"","CISCO-VTP-MIB","A vtpVersionInUseChanged notification is  
generated by a device when the value of the  
object managementDomainVersionInUse is 
changed."
"vtpVlanCreated",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVtpMIB.vtpNotifications.vtpNotificationsPrefix.vtpVlanCreated",".1.3.6.1.4.1.9.9.46.2.0.10",,,"","CISCO-VTP-MIB","A vtpVlanCreated notification is generated by a 
device when a VLAN is created. "
"vtpVlanDeleted",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVtpMIB.vtpNotifications.vtpNotificationsPrefix.vtpVlanDeleted",".1.3.6.1.4.1.9.9.46.2.0.11",,,"","CISCO-VTP-MIB","A vtpVlanDeleted notification is generated by a
device when a VLAN is deleted. "
"vtpVlanRingNumberConflict",".iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoVtpMIB.vtpNotifications.vtpNotificationsPrefix.vtpVlanRingNumberConflict",".1.3.6.1.4.1.9.9.46.2.0.12",,,"","CISCO-VTP-MIB","A VTP ring number configuration conflict notification is
generated if, and only at the time when, a device learns of
a conflict between:
a) the ring number (vtpVlanPortLocalSegment) being used on a
token ring segment attached to the port identified by
ifIndex, and
b) the VTP-obtained ring number (vtpVlanRingNumber) for the
VLAN identified by vtpVlanIndex.
When such a conflict occurs, the bridge port is put into an
administrative down position until the conflict is resolved
through local/network management intervention.
This notification is only applicable to VLANs of type
'tokenRing'."
