"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"sdsAlarmGroup",".iso.org.dod.internet.private.enterprises.roamware.sds-mob.sdsAlarmModule.sdsAlarmGroup",".1.3.6.1.4.1.11150.84.10.0",,,"","Roamware-SDS2-V2-MIB",
"sdsSysUp",".iso.org.dod.internet.private.enterprises.roamware.sds-mob.sdsAlarmModule.sdsAlarmGroup.sdsSysUp",".1.3.6.1.4.1.11150.84.10.0.1",,,"","Roamware-SDS2-V2-MIB","Indicates that the sds instance is up and active."
"sdsSysDown",".iso.org.dod.internet.private.enterprises.roamware.sds-mob.sdsAlarmModule.sdsAlarmGroup.sdsSysDown",".1.3.6.1.4.1.11150.84.10.0.2",,,"","Roamware-SDS2-V2-MIB","Indicates that the sds instance is shutting down."
"sdsTrapDBConnStatus",".iso.org.dod.internet.private.enterprises.roamware.sds-mob.sdsAlarmModule.sdsAlarmGroup.sdsTrapDBConnStatus",".1.3.6.1.4.1.11150.84.10.0.3",,,"","Roamware-SDS2-V2-MIB","Indicates that connection to a database connection pool is up or down."
"sdsTrapIPCBConnStatus",".iso.org.dod.internet.private.enterprises.roamware.sds-mob.sdsAlarmModule.sdsAlarmGroup.sdsTrapIPCBConnStatus",".1.3.6.1.4.1.11150.84.10.0.4",,,"","Roamware-SDS2-V2-MIB","Indicates that connection to an IPCB daemon is up or down."
"sdsTrapEventQueueStatus",".iso.org.dod.internet.private.enterprises.roamware.sds-mob.sdsAlarmModule.sdsAlarmGroup.sdsTrapEventQueueStatus",".1.3.6.1.4.1.11150.84.10.0.5",,,"","Roamware-SDS2-V2-MIB","Indicates that the event queue is above or below high/low water mark."
"sdsTrapDBWStatus",".iso.org.dod.internet.private.enterprises.roamware.sds-mob.sdsAlarmModule.sdsAlarmGroup.sdsTrapDBWStatus",".1.3.6.1.4.1.11150.84.10.0.6",,,"","Roamware-SDS2-V2-MIB","Indicates that connection to a DB writer instance (TDR interface) is up or down."
"sdsTrapCGWStatus",".iso.org.dod.internet.private.enterprises.roamware.sds-mob.sdsAlarmModule.sdsAlarmGroup.sdsTrapCGWStatus",".1.3.6.1.4.1.11150.84.10.0.7",,,"","Roamware-SDS2-V2-MIB","Indicates that connection to a DB writer instance (Call Gateway) is up or down."
"sdsTrapSMSCConnStatus",".iso.org.dod.internet.private.enterprises.roamware.sds-mob.sdsAlarmModule.sdsAlarmGroup.sdsTrapSMSCConnStatus",".1.3.6.1.4.1.11150.84.10.0.8",,,"","Roamware-SDS2-V2-MIB","Indicates that connection to an SMSC connection pool is up or down."
"sdsTrapDNISAllocFail",".iso.org.dod.internet.private.enterprises.roamware.sds-mob.sdsAlarmModule.sdsAlarmGroup.sdsTrapDNISAllocFail",".1.3.6.1.4.1.11150.84.10.0.9",,,"","Roamware-SDS2-V2-MIB","Indicates that allocation of a temporary DNIS mapping failed."
"sdsTrapDNISRemoveFail",".iso.org.dod.internet.private.enterprises.roamware.sds-mob.sdsAlarmModule.sdsAlarmGroup.sdsTrapDNISRemoveFail",".1.3.6.1.4.1.11150.84.10.0.10",,,"","Roamware-SDS2-V2-MIB","Indicates that removal of a temporary DNIS mapping failed."
