"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"ospfTraps",".iso.org.dod.internet.mgmt.mib-2.ospf.ospfTrap.ospfTraps",".1.3.6.1.2.1.14.16.2",,,"","OSPF-TRAP-MIB",
"ospfVirtIfStateChange",".iso.org.dod.internet.mgmt.mib-2.ospf.ospfTrap.ospfTraps.ospfVirtIfStateChange",".1.3.6.1.2.1.14.16.2.1",,,"","OSPF-TRAP-MIB","An ospfVirtIfStateChange trap signifies that there
has been a change in the state of an OSPF virtual
interface.
This trap should be generated when the interface
state regresses (e.g., goes from Point-to-Point to Down)
or progresses to a terminal state
(i.e., Point-to-Point)."
"ospfNbrStateChange",".iso.org.dod.internet.mgmt.mib-2.ospf.ospfTrap.ospfTraps.ospfNbrStateChange",".1.3.6.1.2.1.14.16.2.2",,,"","OSPF-TRAP-MIB","An ospfNbrStateChange trap signifies that
there has been a change in the state of a
non-virtual OSPF neighbor.  This trap should be
generated when the neighbor state regresses
(e.g., goes from Attempt or Full to 1-Way or
Down) or progresses to a terminal state (e.g.,
2-Way or Full).  When an neighbor transitions
from or to Full on non-broadcast multi-access
and broadcast networks, the trap should be
generated by the designated router.  A designated
router transitioning to Down will be noted by
ospfIfStateChange."
"ospfVirtNbrStateChange",".iso.org.dod.internet.mgmt.mib-2.ospf.ospfTrap.ospfTraps.ospfVirtNbrStateChange",".1.3.6.1.2.1.14.16.2.3",,,"","OSPF-TRAP-MIB","An ospfVirtNbrStateChange trap signifies that there
has been a change in the state of an OSPF virtual
neighbor.  This trap should be generated
when the neighbor state regresses (e.g., goes
from Attempt or Full to 1-Way or Down) or
progresses to a terminal state (e.g., Full)."
"ospfIfConfigError",".iso.org.dod.internet.mgmt.mib-2.ospf.ospfTrap.ospfTraps.ospfIfConfigError",".1.3.6.1.2.1.14.16.2.4",,,"","OSPF-TRAP-MIB","An ospfIfConfigError trap signifies that a
packet has been received on a non-virtual
interface from a router whose configuration
parameters conflict with this router's
configuration parameters.  Note that the event
optionMismatch should cause a trap only if it
prevents an adjacency from forming."
"ospfVirtIfConfigError",".iso.org.dod.internet.mgmt.mib-2.ospf.ospfTrap.ospfTraps.ospfVirtIfConfigError",".1.3.6.1.2.1.14.16.2.5",,,"","OSPF-TRAP-MIB","An ospfVirtIfConfigError trap signifies that a
packet has been received on a virtual interface
from a router whose configuration parameters
conflict with this router's configuration
parameters.  Note that the event optionMismatch
should cause a trap only if it prevents an
adjacency from forming."
"ospfIfAuthFailure",".iso.org.dod.internet.mgmt.mib-2.ospf.ospfTrap.ospfTraps.ospfIfAuthFailure",".1.3.6.1.2.1.14.16.2.6",,,"","OSPF-TRAP-MIB","An ospfIfAuthFailure trap signifies that a
packet has been received on a non-virtual
interface from a router whose authentication key
or authentication type conflicts with this
router's authentication key or authentication
type."
"ospfVirtIfAuthFailure",".iso.org.dod.internet.mgmt.mib-2.ospf.ospfTrap.ospfTraps.ospfVirtIfAuthFailure",".1.3.6.1.2.1.14.16.2.7",,,"","OSPF-TRAP-MIB","An ospfVirtIfAuthFailure trap signifies that a
packet has been received on a virtual interface
from a router whose authentication key or
authentication type conflicts with this router's
authentication key or authentication type."
"ospfIfRxBadPacket",".iso.org.dod.internet.mgmt.mib-2.ospf.ospfTrap.ospfTraps.ospfIfRxBadPacket",".1.3.6.1.2.1.14.16.2.8",,,"","OSPF-TRAP-MIB","An ospfIfRxBadPacket trap signifies that an
OSPF packet has been received on a non-virtual
interface that cannot be parsed."
"ospfVirtIfRxBadPacket",".iso.org.dod.internet.mgmt.mib-2.ospf.ospfTrap.ospfTraps.ospfVirtIfRxBadPacket",".1.3.6.1.2.1.14.16.2.9",,,"","OSPF-TRAP-MIB","An ospfVirtIfRxBadPacket trap signifies that an OSPF
packet has been received on a virtual interface
that cannot be parsed."
"ospfTxRetransmit",".iso.org.dod.internet.mgmt.mib-2.ospf.ospfTrap.ospfTraps.ospfTxRetransmit",".1.3.6.1.2.1.14.16.2.10",,,"","OSPF-TRAP-MIB","An ospfTxRetransmit trap signifies than an
OSPF packet has been retransmitted on a
non-virtual interface.  All packets that may be
retransmitted are associated with an LSDB entry.
The LS type, LS ID, and Router ID are used to
identify the LSDB entry."
"ospfVirtIfTxRetransmit",".iso.org.dod.internet.mgmt.mib-2.ospf.ospfTrap.ospfTraps.ospfVirtIfTxRetransmit",".1.3.6.1.2.1.14.16.2.11",,,"","OSPF-TRAP-MIB","An ospfVirtIfTxRetransmit trap signifies than an
OSPF packet has been retransmitted on a virtual
interface.  All packets that may be retransmitted
are associated with an LSDB entry.  The LS
type, LS ID, and Router ID are used to identify
the LSDB entry."
