cpqDa2LogDrvStatusChange,.1.3.6.1.4.1.232.0.3001
cpqDa2SpareStatusChange,.1.3.6.1.4.1.232.0.3002
cpqDa2PhyDrvStatusChange,.1.3.6.1.4.1.232.0.3003
cpqDa2PhyDrvThreshPassedTrap,.1.3.6.1.4.1.232.0.3004
cpqDa2AccelStatusChange,.1.3.6.1.4.1.232.0.3005
cpqDa2AccelBadDataTrap,.1.3.6.1.4.1.232.0.3006
cpqDa2AccelBatteryFailed,.1.3.6.1.4.1.232.0.3007
cpqDa3LogDrvStatusChange,.1.3.6.1.4.1.232.0.3008
cpqDa3SpareStatusChange,.1.3.6.1.4.1.232.0.3009
cpqDa3PhyDrvStatusChange,.1.3.6.1.4.1.232.0.3010
cpqDa3PhyDrvThreshPassedTrap,.1.3.6.1.4.1.232.0.3011
cpqDa3AccelStatusChange,.1.3.6.1.4.1.232.0.3012
cpqDa3AccelBadDataTrap,.1.3.6.1.4.1.232.0.3013
cpqDa3AccelBatteryFailed,.1.3.6.1.4.1.232.0.3014
cpqDaCntlrStatusChange,.1.3.6.1.4.1.232.0.3015
cpqDaCntlrActive,.1.3.6.1.4.1.232.0.3016
cpqDa4SpareStatusChange,.1.3.6.1.4.1.232.0.3017
cpqDa4PhyDrvStatusChange,.1.3.6.1.4.1.232.0.3018
cpqDa4PhyDrvThreshPassedTrap,.1.3.6.1.4.1.232.0.3019
cpqDaTapeLibraryStatusChange,.1.3.6.1.4.1.232.0.3020
cpqDaTapeLibraryDoorStatusChange,.1.3.6.1.4.1.232.0.3021
cpqDaTapeDriveStatusChange,.1.3.6.1.4.1.232.0.3022
cpqDaTapeDriveCleaningRequired,.1.3.6.1.4.1.232.0.3023
cpqDaTapeDriveCleanTapeReplace,.1.3.6.1.4.1.232.0.3024
cpqDa5AccelStatusChange,.1.3.6.1.4.1.232.0.3025
cpqDa5AccelBadDataTrap,.1.3.6.1.4.1.232.0.3026
cpqDa5AccelBatteryFailed,.1.3.6.1.4.1.232.0.3027
cpqDa5CntlrStatusChange,.1.3.6.1.4.1.232.0.3028
cpqDa5PhyDrvStatusChange,.1.3.6.1.4.1.232.0.3029
cpqDa5PhyDrvThreshPassedTrap,.1.3.6.1.4.1.232.0.3030
cpqDa2TapeLibraryStatusChange,.1.3.6.1.4.1.232.0.3031
cpqDa2TapeDriveStatusChange,.1.3.6.1.4.1.232.0.3032
cpqDa6CntlrStatusChange,.1.3.6.1.4.1.232.0.3033
cpqDa6LogDrvStatusChange,.1.3.6.1.4.1.232.0.3034
cpqDa6SpareStatusChange,.1.3.6.1.4.1.232.0.3035
cpqDa6PhyDrvStatusChange,.1.3.6.1.4.1.232.0.3036
cpqDa6PhyDrvThreshPassedTrap,.1.3.6.1.4.1.232.0.3037
cpqDa6AccelStatusChange,.1.3.6.1.4.1.232.0.3038
cpqDa6AccelBadDataTrap,.1.3.6.1.4.1.232.0.3039
cpqDa6AccelBatteryFailed,.1.3.6.1.4.1.232.0.3040
cpqDa6TapeLibraryStatusChange,.1.3.6.1.4.1.232.0.3041
cpqDa6TapeLibraryDoorStatusChange,.1.3.6.1.4.1.232.0.3042
cpqDa6TapeDriveStatusChange,.1.3.6.1.4.1.232.0.3043
cpqDa6TapeDriveCleaningRequired,.1.3.6.1.4.1.232.0.3044
cpqDa6TapeDriveCleanTapeReplace,.1.3.6.1.4.1.232.0.3045
cpqDa7PhyDrvStatusChange,.1.3.6.1.4.1.232.0.3046
cpqDa7SpareStatusChange,.1.3.6.1.4.1.232.0.3047
cpqDaCntlrPartnerStatusChange,.1.3.6.1.4.1.232.0.3048
cpqDaPhyDrvSSDWearStatusChange,.1.3.6.1.4.1.232.0.3049
cpqScsi2CntlrStatusChange,.1.3.6.1.4.1.232.0.5001
cpqScsi2LogDrvStatusChange,.1.3.6.1.4.1.232.0.5002
cpqScsi2PhyDrvStatusChange,.1.3.6.1.4.1.232.0.5003
cpqTapePhyDrvStatusChange,.1.3.6.1.4.1.232.0.5004
cpqScsi3CntlrStatusChange,.1.3.6.1.4.1.232.0.5005
cpqScsi3PhyDrvStatusChange,.1.3.6.1.4.1.232.0.5006
cpqTape3PhyDrvStatusChange,.1.3.6.1.4.1.232.0.5007
cpqTape3PhyDrvCleaningRequired,.1.3.6.1.4.1.232.0.5008
cpqTape3PhyDrvCleanTapeReplace,.1.3.6.1.4.1.232.0.5009
cpqTape3LibraryFailed,.1.3.6.1.4.1.232.0.5010
cpqTape3LibraryOkay,.1.3.6.1.4.1.232.0.5011
cpqTape3LibraryDegraded,.1.3.6.1.4.1.232.0.5012
cpqTape3LibraryDoorOpen,.1.3.6.1.4.1.232.0.5013
cpqTape3LibraryDoorClosed,.1.3.6.1.4.1.232.0.5014
cpqScsiCdLibraryStatusChange,.1.3.6.1.4.1.232.0.5015
cpqTape4PhyDrvStatusChange,.1.3.6.1.4.1.232.0.5016
cpqScsi4PhyDrvStatusChange,.1.3.6.1.4.1.232.0.5017
cpqTapeLibraryStatusChange,.1.3.6.1.4.1.232.0.5018
cpqTape5PhyDrvStatusChange,.1.3.6.1.4.1.232.0.5019
cpqScsi5PhyDrvStatusChange,.1.3.6.1.4.1.232.0.5020
cpqScsi3LogDrvStatusChange,.1.3.6.1.4.1.232.0.5021
cpqSasPhyDrvStatusChange,.1.3.6.1.4.1.232.0.5022
cpqSasLogDrvStatusChange,.1.3.6.1.4.1.232.0.5023
cpqSas2TapeDrvStatusChange,.1.3.6.1.4.1.232.0.5025
cpqSasPhyDrvSSDWearStatusChange,.1.3.6.1.4.1.232.0.5026
cpqHe2CorrectableMemoryError,.1.3.6.1.4.1.232.0.6001
cpqHe2CorrectableMemoryLogDisabled,.1.3.6.1.4.1.232.0.6002
cpqHeThermalTempFailed,.1.3.6.1.4.1.232.0.6003
cpqHeThermalTempDegraded,.1.3.6.1.4.1.232.0.6004
cpqHeThermalTempOk,.1.3.6.1.4.1.232.0.6005
cpqHeThermalSystemFanFailed,.1.3.6.1.4.1.232.0.6006
cpqHeThermalSystemFanDegraded,.1.3.6.1.4.1.232.0.6007
cpqHeThermalSystemFanOk,.1.3.6.1.4.1.232.0.6008
cpqHeThermalCpuFanFailed,.1.3.6.1.4.1.232.0.6009
cpqHeThermalCpuFanOk,.1.3.6.1.4.1.232.0.6010
cpqHeAsrConfirmation,.1.3.6.1.4.1.232.0.6011
cpqHeThermalConfirmation,.1.3.6.1.4.1.232.0.6012
cpqHePostError,.1.3.6.1.4.1.232.0.6013
cpqHeFltTolPwrSupplyDegraded,.1.3.6.1.4.1.232.0.6014
cpqHe3CorrectableMemoryError,.1.3.6.1.4.1.232.0.6015
cpqHe3CorrectableMemoryLogDisabled,.1.3.6.1.4.1.232.0.6016
cpqHe3ThermalTempFailed,.1.3.6.1.4.1.232.0.6017
