"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"callServiceAlarmGroup",".iso.org.dod.internet.private.enterprises.roamware.callService-mob.callServiceAlarmModule.callServiceAlarmGroup",".1.3.6.1.4.1.11150.95.10.0",,,"","Roamware-CALLSVC10-V2-MIB",
"callServiceTrapMOCallsTimedOut",".iso.org.dod.internet.private.enterprises.roamware.callService-mob.callServiceAlarmModule.callServiceAlarmGroup.callServiceTrapMOCallsTimedOut",".1.3.6.1.4.1.11150.95.10.0.1",,,"","Roamware-CALLSVC10-V2-MIB","Indicates that the percentage of MO Calls timed out is too high."
"callServiceTrapMOCallsReleased",".iso.org.dod.internet.private.enterprises.roamware.callService-mob.callServiceAlarmModule.callServiceAlarmGroup.callServiceTrapMOCallsReleased",".1.3.6.1.4.1.11150.95.10.0.2",,,"","Roamware-CALLSVC10-V2-MIB","Indicates that the percentage of MO Calls released by SCF is too high."
"callServiceTrapMOCallsAborted",".iso.org.dod.internet.private.enterprises.roamware.callService-mob.callServiceAlarmModule.callServiceAlarmGroup.callServiceTrapMOCallsAborted",".1.3.6.1.4.1.11150.95.10.0.3",,,"","Roamware-CALLSVC10-V2-MIB","Indicates that the percentage of MO Calls aborted is too high."
"callServiceTrapMOCallsError",".iso.org.dod.internet.private.enterprises.roamware.callService-mob.callServiceAlarmModule.callServiceAlarmGroup.callServiceTrapMOCallsError",".1.3.6.1.4.1.11150.95.10.0.4",,,"","Roamware-CALLSVC10-V2-MIB","Indicates that the percentage of MO Calls failed due to Return Error is too high."
"callServiceTrapMOCallsNotAnswered",".iso.org.dod.internet.private.enterprises.roamware.callService-mob.callServiceAlarmModule.callServiceAlarmGroup.callServiceTrapMOCallsNotAnswered",".1.3.6.1.4.1.11150.95.10.0.5",,,"","Roamware-CALLSVC10-V2-MIB","Indicates that the percentage of MO Calls not answered is too high."
"callServiceTrapMOCallsBusy",".iso.org.dod.internet.private.enterprises.roamware.callService-mob.callServiceAlarmModule.callServiceAlarmGroup.callServiceTrapMOCallsBusy",".1.3.6.1.4.1.11150.95.10.0.6",,,"","Roamware-CALLSVC10-V2-MIB","Indicates that the percentage of busy MO Calls is too high."
"callServiceTrapMOCallsAbandoned",".iso.org.dod.internet.private.enterprises.roamware.callService-mob.callServiceAlarmModule.callServiceAlarmGroup.callServiceTrapMOCallsAbandoned",".1.3.6.1.4.1.11150.95.10.0.7",,,"","Roamware-CALLSVC10-V2-MIB","Indicates that the percentage of MO Calls abandoned is too high."
"callServiceTrapMOCallsRouteSelectFailure",".iso.org.dod.internet.private.enterprises.roamware.callService-mob.callServiceAlarmModule.callServiceAlarmGroup.callServiceTrapMOCallsRouteSelectFailure",".1.3.6.1.4.1.11150.95.10.0.8",,,"","Roamware-CALLSVC10-V2-MIB","Indicates that the percentage of MO Calls failed due to Route select failure is too high."
"callServiceTrapMTCallsTimedOut",".iso.org.dod.internet.private.enterprises.roamware.callService-mob.callServiceAlarmModule.callServiceAlarmGroup.callServiceTrapMTCallsTimedOut",".1.3.6.1.4.1.11150.95.10.0.9",,,"","Roamware-CALLSVC10-V2-MIB","Indicates that the percentage of MT Calls timed out is too high."
