"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"rdbTrapsGroup",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup",".1.3.6.1.4.1.11150.6.5.0",,,"","Roamware-RDB-V2-MIB",
"rdbSysUp",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbSysUp",".1.3.6.1.4.1.11150.6.5.0.1",,,"","Roamware-RDB-V2-MIB","Indicates that the DBWriter system is up and active."
"rdbSysDown",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbSysDown",".1.3.6.1.4.1.11150.6.5.0.2",,,"","Roamware-RDB-V2-MIB","Indicates that the DBWriter system is shutting down."
"rdbDBConnection",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbDBConnection",".1.3.6.1.4.1.11150.6.5.0.3",,,"","Roamware-RDB-V2-MIB","Indicates abnormal condition of database connections."
"rdbStatusChange",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbStatusChange",".1.3.6.1.4.1.11150.6.5.0.5",,,"","Roamware-RDB-V2-MIB","Indicates the state of the system going from passive to active."
"rdbProbeConn",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbProbeConn",".1.3.6.1.4.1.11150.6.5.0.6",,,"","Roamware-RDB-V2-MIB","Indicates that the connection with the SS7Probe is lost/gained/paused/resumed."
"rdbIMDBConn",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbIMDBConn",".1.3.6.1.4.1.11150.6.5.0.7",,,"","Roamware-RDB-V2-MIB","Indicates that the connection with the roamer cache server is lost/gained."
"rdbTDRConn",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbTDRConn",".1.3.6.1.4.1.11150.6.5.0.8",,,"","Roamware-RDB-V2-MIB","Indicates that the connection with the TDR interface is lost/gained."
"rdbNoMesgFromProbe",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbNoMesgFromProbe",".1.3.6.1.4.1.11150.6.5.0.9",,,"","Roamware-RDB-V2-MIB","Indicates that no messages are received from Probe for a configurable period."
"rdbProbeMsgPoolStatus",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbProbeMsgPoolStatus",".1.3.6.1.4.1.11150.6.5.0.10",,,"","Roamware-RDB-V2-MIB","Indicates the status of probe message pool."
"rdbEventQueue",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbEventQueue",".1.3.6.1.4.1.11150.6.5.0.11",,,"","Roamware-RDB-V2-MIB","Indicates the status of event queue."
"rdbEODFailure",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbEODFailure",".1.3.6.1.4.1.11150.6.5.0.12",,,"","Roamware-RDB-V2-MIB","Indicates that the EOD process has failed."
"rdbHeartbeat",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbHeartbeat",".1.3.6.1.4.1.11150.6.5.0.13",,,"","Roamware-RDB-V2-MIB","Sent periodically to indicate that DBWriter is alive."
"rdbAllocatorDeplete",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbAllocatorDeplete",".1.3.6.1.4.1.11150.6.5.0.14",,,"","Roamware-RDB-V2-MIB","Indicates that an MSU allocator buffer is depleting."
"rdbMsgPoolStatus",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbMsgPoolStatus",".1.3.6.1.4.1.11150.6.5.0.15",,,"","Roamware-RDB-V2-MIB","Indicates the status of message mtp2 pool."
"callgwClientConnStatus",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.callgwClientConnStatus",".1.3.6.1.4.1.11150.6.5.0.16",,,"","Roamware-RDB-V2-MIB","Indicates Roamware ISUPGateway Client connection status."
"msuProcessingCapacity",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.msuProcessingCapacity",".1.3.6.1.4.1.11150.6.5.0.17",,,"","Roamware-RDB-V2-MIB","Indicates status of number of MTP2 MSU received by DBWriter."
"smTimeoutStatus",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.smTimeoutStatus",".1.3.6.1.4.1.11150.6.5.0.18",,,"","Roamware-RDB-V2-MIB","Indicates status of percentage number statemachines of MTP2 MSU received by DBWriter."
"rdbTrapsResync",".iso.org.dod.internet.private.enterprises.roamware.rdb-mob.rdbTrapsModule.rdbTrapsGroup.rdbTrapsResync",".1.3.6.1.4.1.11150.6.5.0.19",,,"","Roamware-RDB-V2-MIB","Indicates the start and end of a trap resync operation."
