"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"smartSTPTrapsGroup",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup",".1.3.6.1.4.1.11150.69.4.0",,,"","Roamware-SmartSTP-V2-MIB",
"smartSTPSysUp",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPSysUp",".1.3.6.1.4.1.11150.69.4.0.1",,,"","Roamware-SmartSTP-V2-MIB","Indicates that the SmartSTP instance is up and active."
"smartSTPSysDown",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPSysDown",".1.3.6.1.4.1.11150.69.4.0.2",,,"","Roamware-SmartSTP-V2-MIB","Indicates that the SmartSTP instance is shutting down."
"smartSTPModuleStatus",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPModuleStatus",".1.3.6.1.4.1.11150.69.4.0.3",,,"","Roamware-SmartSTP-V2-MIB","Indicates whether an SS7 message queue is being monitored"
"smartSTPAppStatus",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPAppStatus",".1.3.6.1.4.1.11150.69.4.0.4",,,"","Roamware-SmartSTP-V2-MIB","Indicates the status of an application."
"smartSTPLinkCO",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPLinkCO",".1.3.6.1.4.1.11150.69.4.0.5",,,"","Roamware-SmartSTP-V2-MIB","Indicates link change over/back"
"smartSTPLinkRPO",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPLinkRPO",".1.3.6.1.4.1.11150.69.4.0.6",,,"","Roamware-SmartSTP-V2-MIB","Indicates remote processor outage"
"smartSTPLinkCong",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPLinkCong",".1.3.6.1.4.1.11150.69.4.0.7",,,"","Roamware-SmartSTP-V2-MIB","Indicates link congestion"
"smartSTPLinksetFail",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPLinksetFail",".1.3.6.1.4.1.11150.69.4.0.8",,,"","Roamware-SmartSTP-V2-MIB","Indicates indicates linkset failure"
"smartSTPDestOutage",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPDestOutage",".1.3.6.1.4.1.11150.69.4.0.9",,,"","Roamware-SmartSTP-V2-MIB","Indicates destination point code unavailable"
"smartSTPAdjPCOutage",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPAdjPCOutage",".1.3.6.1.4.1.11150.69.4.0.10",,,"","Roamware-SmartSTP-V2-MIB","Indicates adjascent point code unavailable"
"smartSTPPCMStatus",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPPCMStatus",".1.3.6.1.4.1.11150.69.4.0.11",,,"","Roamware-SmartSTP-V2-MIB","Indicates PCM status (link up/down)"
"smartSTPM3UAssocStatusNotif",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPM3UAssocStatusNotif",".1.3.6.1.4.1.11150.69.4.0.12",,,"","Roamware-SmartSTP-V2-MIB","Indicates the status of an M3UA association"
"smartSTPM3UASPStatus",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPM3UASPStatus",".1.3.6.1.4.1.11150.69.4.0.13",,,"","Roamware-SmartSTP-V2-MIB","Indicates the status of an M3UA peer ASP"
"smartSTPHeartbeat",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPHeartbeat",".1.3.6.1.4.1.11150.69.4.0.14",,,"","Roamware-SmartSTP-V2-MIB","Sent periodically to indicate that Smart STP is alive"
"smartSTPWatchPoolDeplete",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPWatchPoolDeplete",".1.3.6.1.4.1.11150.69.4.0.15",,,"","Roamware-SmartSTP-V2-MIB","Sent to indicate that the TCAP BEGIN wacther pool is depleting"
"smartSTPTCAPWatchEff",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPTCAPWatchEff",".1.3.6.1.4.1.11150.69.4.0.16",,,"","Roamware-SmartSTP-V2-MIB","Sent to indicate that too many TCAP BEGIN messages are timing out"
"smartSTPRSILinkStatus",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPRSILinkStatus",".1.3.6.1.4.1.11150.69.4.0.17",,,"","Roamware-SmartSTP-V2-MIB","Indicates the status of an RSI SIU link"
"smartSTPSCCPDecodeFail",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPSCCPDecodeFail",".1.3.6.1.4.1.11150.69.4.0.18",,,"","Roamware-SmartSTP-V2-MIB","Sent to indicate that too many SCCP decodes failed"
"smartSTPTCAPDecodeFail",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPTCAPDecodeFail",".1.3.6.1.4.1.11150.69.4.0.19",,,"","Roamware-SmartSTP-V2-MIB","Sent to indicate that too many TCAP decodes failed"
"smartSTPUDTSThreshold",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPUDTSThreshold",".1.3.6.1.4.1.11150.69.4.0.20",,,"","Roamware-SmartSTP-V2-MIB","Sent to indicate that for too many messages no match was found in the routing table
and subsequently UDTS were sent"
"smartSTPResyncTrap",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPResyncTrap",".1.3.6.1.4.1.11150.69.4.0.21",,,"","Roamware-SmartSTP-V2-MIB","Emitted before and after a trap resynchronization process"
"smartSTPCicStateChange",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPCicStateChange",".1.3.6.1.4.1.11150.69.4.0.22",,,"","Roamware-SmartSTP-V2-MIB","Sent when CICs in an ISUP circuit group get blocked or unblocked"
"smartSTPSCTPAssocStatusNotif",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPSCTPAssocStatusNotif",".1.3.6.1.4.1.11150.69.4.0.23",,,"","Roamware-SmartSTP-V2-MIB","Indicates the status of an SCTP association"
"smartSTPSCTPPathStatusNotif",".iso.org.dod.internet.private.enterprises.roamware.smartstp-mob.smartSTPTrapsModule.smartSTPTrapsGroup.smartSTPSCTPPathStatusNotif",".1.3.6.1.4.1.11150.69.4.0.24",,,"","Roamware-SmartSTP-V2-MIB","Indicates the status of an SCTP association path"
