"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"sprsTrapsGroup",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup",".1.3.6.1.4.1.11150.71.13",,,"","Roamware-SPRS-MIB",
"sprsSysUp",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.sprsSysUp",".1.3.6.1.4.1.11150.71.13.1",,,"","Roamware-SPRS-MIB","Indicates that the sprs system is up and active."
"sprsSysDown",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.sprsSysDown",".1.3.6.1.4.1.11150.71.13.2",,,"","Roamware-SPRS-MIB","Indicates that the sprs system is down."
"sprsDBDown",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.sprsDBDown",".1.3.6.1.4.1.11150.71.13.4",,,"","Roamware-SPRS-MIB","Indicates DataBase Connection Fails."
"sprsUnableToAllocatePDPCtxtMemory",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.sprsUnableToAllocatePDPCtxtMemory",".1.3.6.1.4.1.11150.71.13.8",,,"","Roamware-SPRS-MIB","Indicates PDP context memory is full."
"sprsIMSIMapRescan",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.sprsIMSIMapRescan",".1.3.6.1.4.1.11150.71.13.9",,,"","Roamware-SPRS-MIB","Indicates that the rescan of Sprs IMSI Mapping cache has started/completed/failed."
"sprsSQLExecution",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.sprsSQLExecution",".1.3.6.1.4.1.11150.71.13.10",,,"","Roamware-SPRS-MIB","Indicates that SQL statement execution take more time then the configured threshold value."
"sprsSessionsRejected",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.sprsSessionsRejected",".1.3.6.1.4.1.11150.71.13.11",,,"","Roamware-SPRS-MIB","Indicates that too many sessions rejected or rejection of sessions reduced."
"sprsSessionsFailed",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.sprsSessionsFailed",".1.3.6.1.4.1.11150.71.13.12",,,"","Roamware-SPRS-MIB","Indicates that too many sessions failed or failing of sessions reduced."
"sprsSessionsRequest",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.sprsSessionsRequest",".1.3.6.1.4.1.11150.71.13.13",,,"","Roamware-SPRS-MIB","Indicates that Requested Sessions is above high water mark or Requested Sessions is reduced below low water mark."
"sprsGTPMsgQueueThreshold",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.sprsGTPMsgQueueThreshold",".1.3.6.1.4.1.11150.71.13.14",,,"","Roamware-SPRS-MIB","Indicates that the GTP Message Queue is goes above the threshold, goes below the threshold or goes to full capacity."
"sprsStrHomeProfileDNSReqFailed",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.sprsStrHomeProfileDNSReqFailed",".1.3.6.1.4.1.11150.71.13.15",,,"","Roamware-SPRS-MIB","Indicates that too many Home Profile DNS Request Failed or failing of Home Profile DNS Request reduced."
"sprsStrLocalProfileDNSReqFailed",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.sprsStrLocalProfileDNSReqFailed",".1.3.6.1.4.1.11150.71.13.16",,,"","Roamware-SPRS-MIB","Indicates that too many Local Profile DNS Request Failed or failing of Local Profile DNS Request reduced."
"dnsQueryAckErrorAlarm",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.dnsQueryAckErrorAlarm",".1.3.6.1.4.1.11150.71.13.17",,,"","Roamware-SPRS-MIB","Indicates that too many DNS Query error received or receiving of DNS Query error reduced."
"dnsQueryAckTimeoutAlarm",".iso.org.dod.internet.private.enterprises.roamware.sprs-mob.sprsTrapsGroup.dnsQueryAckTimeoutAlarm",".1.3.6.1.4.1.11150.71.13.18",,,"","Roamware-SPRS-MIB","Indicates that too many DNS Query timeout received or receiving of DNS Query timeout reduced."
